index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,286,3.709776
1,q_1,Emergency_Department,62,62,True,214,4.792048
2,q_2,Emergency_Department,38,38,True,343,3.511515
4,q_4,Emergency_Department,24,24,True,368,3.751056
5,q_5,Emergency_Department,24,24,True,300,4.736935
6,q_6,Emergency_Department,36,36,True,359,4.419192
8,q_8,Emergency_Department,38,38,True,437,3.717123
9,q_9,Emergency_Department,62,62,True,229,4.102907
11,q_11,Emergency_Department,24,24,True,373,3.27114
13,q_13,Emergency_Department,62,62,True,18,3.943442
14,q_14,Emergency_Department,38,38,True,492,7.941266
16,q_16,Emergency_Department,24,24,True,253,3.213014
20,q_20,Emergency_Department,38,38,True,215,3.447994
21,q_21,Emergency_Department,62,62,True,286,3.672428
22,q_22,Emergency_Department,24,24,True,18,3.503025
26,q_26,Emergency_Department,38,38,True,327,3.880523
28,q_28,Emergency_Department,indeterminate,,False,18,3.753869
29,q_29,Emergency_Department,36,36,True,514,4.555162
31,q_31,Emergency_Department,38,38,True,376,3.692047
34,q_34,Emergency_Department,indeterminate,indeterminate,True,18,3.361172
35,q_35,Emergency_Department,36,36,True,1047,7.234665
36,q_36,Emergency_Department,62,62,True,390,4.804083
41,q_41,Emergency_Department,36,,False,18,4.350274
42,q_42,Emergency_Department,62,62,True,393,3.75758
47,q_47,Emergency_Department,36,36,True,543,4.984858
49,q_49,Emergency_Department,38,38,True,18,2.554853
54,q_54,Emergency_Department,62,62,True,560,4.090073
55,q_55,Emergency_Department,38,38,True,374,3.56926
58,q_58,Emergency_Department,24,48,False,453,4.505295
59,q_59,Emergency_Department,36,36,True,371,4.163106
61,q_61,Emergency_Department,38,38,True,305,3.36274
72,q_72,Emergency_Department,57,57,True,297,4.419615
73,q_73,Emergency_Department,37,,False,593,5.801981
75,q_75,Emergency_Department,23,,False,18,3.447988
76,q_76,Emergency_Department,20,20,True,18,3.519629
77,q_77,Emergency_Department,24,24,True,299,5.2753
78,q_78,Emergency_Department,30,30,True,436,6.015087
79,q_79,Emergency_Department,57,57,True,204,4.395794
80,q_80,Emergency_Department,37,37,True,18,3.698232
81,q_81,Emergency_Department,35,59,False,482,5.021257
83,q_83,Emergency_Department,20,20,True,240,4.129011
85,q_85,Emergency_Department,30,30,True,359,5.525741
86,q_86,Emergency_Department,57,57,True,206,4.548056
87,q_87,Emergency_Department,37,37,True,18,4.6469
89,q_89,Emergency_Department,23,23,True,365,4.418519
90,q_90,Emergency_Department,20,0,False,505,4.614083
91,q_91,Emergency_Department,24,24,True,280,3.912499
92,q_92,Emergency_Department,30,18,False,447,5.582136
93,q_93,Emergency_Department,57,57,True,428,5.286077
94,q_94,Emergency_Department,37,37,True,200,3.879206
95,q_95,Emergency_Department,35,59,False,18,3.771082
96,q_96,Emergency_Department,23,,False,18,3.864514
97,q_97,Emergency_Department,20,,False,305,4.876448
101,q_101,Emergency_Department,37,indeterminate,False,18,4.228255
104,q_104,Emergency_Department,20,indeterminate,False,18,4.775515
105,q_105,Emergency_Department,24,24,True,142,3.408431
106,q_106,Emergency_Department,30,30,True,18,5.44724
107,q_107,Emergency_Department,57,57,True,18,4.096769
110,q_110,Emergency_Department,23,23,True,282,4.602189
111,q_111,Emergency_Department,20,,False,18,3.745217
114,q_114,UMDvsUNC,69,69,True,18,3.490718
115,q_115,UMDvsUNC,35,35,True,479,4.110873
118,q_118,UMDvsUNC,23,,False,410,3.506926
120,q_120,UMDvsUNC,10,10,True,416,3.170468
121,q_121,UMDvsUNC,34,34,True,18,3.85774
122,q_122,UMDvsUNC,69,69,True,18,2.952188
123,q_123,UMDvsUNC,35,35,True,18,3.254336
124,q_124,UMDvsUNC,14,14,True,18,2.78193
125,q_125,UMDvsUNC,15,15,True,300,2.851482
126,q_126,UMDvsUNC,23,23,True,18,3.253429
128,q_128,UMDvsUNC,indeterminate,23,False,386,3.226932
130,q_130,UMDvsUNC,69,69,True,323,3.200351
131,q_131,UMDvsUNC,35,35,True,18,2.495243
133,q_133,UMDvsUNC,15,15,True,327,2.865624
134,q_134,UMDvsUNC,15,15,True,556,4.073056
136,q_136,UMDvsUNC,indeterminate,indeterminate,True,18,2.392243
137,q_137,UMDvsUNC,34,34,True,228,4.28103
138,q_138,UMDvsUNC,69,69,True,279,3.160727
139,q_139,UMDvsUNC,35,35,True,412,3.286815
140,q_140,UMDvsUNC,14,14,True,308,4.174408
141,q_141,UMDvsUNC,15,15,True,544,3.622956
142,q_142,UMDvsUNC,15,15,True,18,3.992263
144,q_144,UMDvsUNC,indeterminate,15,False,18,2.529918
145,q_145,UMDvsUNC,34,34,True,18,4.170307
146,q_146,UMDvsUNC,69,69,True,278,3.459592
147,q_147,UMDvsUNC,35,35,True,354,3.277582
148,q_148,UMDvsUNC,indeterminate,34,False,292,3.525749
149,q_149,UMDvsUNC,indeterminate,34,False,284,2.674192
150,q_150,UMDvsUNC,indeterminate,69,False,18,2.402101
154,q_154,UMDvsUNC,69,69,True,18,2.889677
155,q_155,UMDvsUNC,35,35,True,354,4.067889
157,q_157,UMDvsUNC,indeterminate,34,False,249,4.454191
158,q_158,UMDvsUNC,indeterminate,indeterminate,True,18,3.278183
159,q_159,UMDvsUNC,indeterminate,indeterminate,True,18,2.383744
161,q_161,UMDvsUNC,34,27,False,316,4.083687
162,q_162,UMDvsUNC,60,36,False,338,3.131131
163,q_163,UMDvsUNC,23,23,True,314,4.168989
164,q_164,UMDvsUNC,24,16,False,18,3.671313
165,q_165,UMDvsUNC,53,44,False,18,2.818525
166,q_166,UMDvsUNC,8,8,True,364,4.539448
167,q_167,UMDvsUNC,4,4,True,278,11.28312
168,q_168,UMDvsUNC,34,8,False,265,3.49681
169,q_169,UMDvsUNC,69,69,True,18,2.624057
170,q_170,UMDvsUNC,22,22,True,18,3.249369
171,q_171,UMDvsUNC,24,24,True,18,3.143311
172,q_172,UMDvsUNC,49,44,False,193,3.250236
173,q_173,UMDvsUNC,8,indeterminate,False,18,3.461141
175,q_175,UMDvsUNC,34,34,True,273,3.189685
176,q_176,UMDvsUNC,69,22,False,282,2.97518
177,q_177,UMDvsUNC,22,22,True,18,3.40724
179,q_179,UMDvsUNC,49,49,True,349,3.229981
180,q_180,UMDvsUNC,indeterminate,indeterminate,True,18,2.563312
181,q_181,UMDvsUNC,indeterminate,,False,384,3.597167
182,q_182,UMDvsUNC,34,34,True,288,3.449584
183,q_183,UMDvsUNC,69,22,False,288,2.989784
184,q_184,UMDvsUNC,22,22,True,18,2.633069
187,q_187,UMDvsUNC,indeterminate,indeterminate,True,18,2.144261
188,q_188,UMDvsUNC,indeterminate,indeterminate,True,18,3.759314
189,q_189,UMDvsUNC,34,34,True,249,2.949727
190,q_190,UMDvsUNC,69,22,False,256,2.543982
192,q_192,UMDvsUNC,24,24,True,245,3.088982
193,q_193,UMDvsUNC,34,34,True,203,3.097133
199,q_199,UMDvsUNC,24,24,True,306,3.385947
200,q_200,UMDvsUNC,34,24,False,18,3.459385
201,q_201,UMDvsUNC,indeterminate,indeterminate,True,18,2.228512
203,q_203,UMDvsUNC,1,1,True,461,5.9151
204,q_204,UMDvsUNC,21,2,False,18,4.871148
205,q_205,UMDvsUNC,33,40,False,198,4.281772
206,q_206,UMDvsUNC,28,28,True,198,4.39329
207,q_207,UMDvsUNC,42,42,True,382,5.061493
208,q_208,UMDvsUNC,indeterminate,8,False,521,4.241933
209,q_209,UMDvsUNC,21,indeterminate,False,18,3.420923
211,q_211,UMDvsUNC,21,15,False,490,8.077328
212,q_212,UMDvsUNC,50,39,False,280,4.815558
213,q_213,UMDvsUNC,27,27,True,18,3.730689
