index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,26,False,1156,22.452609
1,q_1,Emergency_Department,62,48,False,696,15.69245
2,q_2,Emergency_Department,38,38,True,18,15.068683
3,q_3,Emergency_Department,62,62,True,409,13.139734
4,q_4,Emergency_Department,24,24,True,484,11.838689
5,q_5,Emergency_Department,24,24,True,635,15.664451
6,q_6,Emergency_Department,36,36,True,490,14.232221
7,q_7,Emergency_Department,62,76,False,610,13.970402
8,q_8,Emergency_Department,38,38,True,518,14.835588
9,q_9,Emergency_Department,62,62,True,408,12.865419
10,q_10,Emergency_Department,24,24,True,527,12.200352
11,q_11,Emergency_Department,24,24,True,18,12.661248
12,q_12,Emergency_Department,36,62,False,18,20.477144
13,q_13,Emergency_Department,62,26,False,894,18.438103
14,q_14,Emergency_Department,38,38,True,665,15.117328
15,q_15,Emergency_Department,62,62,True,411,13.135715
16,q_16,Emergency_Department,24,24,True,18,13.296842
17,q_17,Emergency_Department,24,24,True,595,15.578689
18,q_18,Emergency_Department,36,24,False,18,29.150141
19,q_19,Emergency_Department,62,62,True,631,15.28265
20,q_20,Emergency_Department,38,,False,1835,31.181391
21,q_21,Emergency_Department,62,62,True,569,15.929844
22,q_22,Emergency_Department,24,24,True,527,12.590881
23,q_23,Emergency_Department,24,48,False,783,17.083349
24,q_24,Emergency_Department,36,36,True,18,15.419508
25,q_25,Emergency_Department,38,38,True,467,12.143508
26,q_26,Emergency_Department,38,38,True,623,14.732637
27,q_27,Emergency_Department,62,62,True,18,10.789475
28,q_28,Emergency_Department,indeterminate,38,False,673,16.442766
29,q_29,Emergency_Department,36,36,True,18,15.799823
30,q_30,Emergency_Department,38,38,True,754,18.321315
31,q_31,Emergency_Department,38,38,True,663,14.940246
32,q_32,Emergency_Department,62,62,True,18,12.348086
33,q_33,Emergency_Department,indeterminate,26,False,18,14.317827
34,q_34,Emergency_Department,indeterminate,64,False,898,18.92823
35,q_35,Emergency_Department,36,8,False,418,13.140444
36,q_36,Emergency_Department,62,46,False,452,12.422158
37,q_37,Emergency_Department,38,59,False,602,13.64526
38,q_38,Emergency_Department,62,45,False,554,14.978729
39,q_39,Emergency_Department,24,,False,689,21.905724
40,q_40,Emergency_Department,24,38,False,910,21.481199
41,q_41,Emergency_Department,36,36,True,813,20.67929
42,q_42,Emergency_Department,62,74,False,911,21.260269
43,q_43,Emergency_Department,38,38,True,621,15.684882
44,q_44,Emergency_Department,62,62,True,511,14.58139
45,q_45,Emergency_Department,24,36,False,350,12.890442
46,q_46,Emergency_Department,24,98,False,1055,21.417724
47,q_47,Emergency_Department,36,62,False,1113,23.801268
48,q_48,Emergency_Department,62,59,False,556,15.606938
49,q_49,Emergency_Department,38,38,True,765,17.521482
50,q_50,Emergency_Department,62,36,False,18,15.966643
51,q_51,Emergency_Department,24,2,False,507,14.898519
52,q_52,Emergency_Department,24,60,False,522,15.544438
53,q_53,Emergency_Department,36,36,True,762,19.829814
54,q_54,Emergency_Department,62,74,False,482,13.828057
55,q_55,Emergency_Department,38,38,True,662,14.963652
56,q_56,Emergency_Department,62,57,False,866,18.511367
57,q_57,Emergency_Department,24,41,False,522,15.976661
58,q_58,Emergency_Department,24,36,False,18,31.941184
59,q_59,Emergency_Department,36,26,False,368,24.031819
60,q_60,Emergency_Department,38,61,False,1189,40.025041
61,q_61,Emergency_Department,38,38,True,646,31.777192
62,q_62,Emergency_Department,62,62,True,529,25.804989
63,q_63,Emergency_Department,indeterminate,38,False,759,33.659249
64,q_64,Emergency_Department,indeterminate,38,False,605,27.850764
65,q_65,Emergency_Department,36,62,False,18,28.987278
66,q_66,Emergency_Department,38,76,False,516,28.085881
67,q_67,Emergency_Department,38,38,True,18,32.411409
68,q_68,Emergency_Department,62,62,True,413,24.019057
69,q_69,Emergency_Department,indeterminate,36,False,383,21.630995
70,q_70,Emergency_Department,indeterminate,38,False,435,26.04719
71,q_71,Emergency_Department,30,36,False,1143,41.39665
