index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,587,76.426318
1,q_1,Emergency_Department,62,62,True,984,119.342863
2,q_2,Emergency_Department,38,38,True,519,66.120748
3,q_3,Emergency_Department,62,24,False,326,52.496734
4,q_4,Emergency_Department,24,24,True,321,52.754961
5,q_5,Emergency_Department,24,24,True,752,89.637382
6,q_6,Emergency_Department,36,36,True,591,76.825772
7,q_7,Emergency_Department,62,62,True,609,75.759216
8,q_8,Emergency_Department,38,38,True,681,75.543328
9,q_9,Emergency_Department,62,24,False,339,52.446523
10,q_10,Emergency_Department,24,24,True,486,63.643466
11,q_11,Emergency_Department,24,24,True,779,87.490212
12,q_12,Emergency_Department,36,36,True,694,85.082514
13,q_13,Emergency_Department,62,62,True,480,67.200698
14,q_14,Emergency_Department,38,38,True,684,78.39942
15,q_15,Emergency_Department,62,24,False,431,60.134988
16,q_16,Emergency_Department,24,24,True,492,66.110479
17,q_17,Emergency_Department,24,24,True,545,68.902715
18,q_18,Emergency_Department,36,36,True,644,114.921436
19,q_19,Emergency_Department,62,62,True,398,71.763833
20,q_20,Emergency_Department,38,38,True,607,71.093422
21,q_21,Emergency_Department,62,24,False,487,66.138558
22,q_22,Emergency_Department,24,24,True,432,59.799156
23,q_23,Emergency_Department,24,24,True,586,73.829654
24,q_24,Emergency_Department,36,36,True,696,86.850851
25,q_25,Emergency_Department,38,38,True,718,87.835071
26,q_26,Emergency_Department,38,38,True,725,80.245722
27,q_27,Emergency_Department,62,62,True,453,61.973909
28,q_28,Emergency_Department,indeterminate,38,False,416,63.354553
29,q_29,Emergency_Department,36,36,True,761,90.297773
30,q_30,Emergency_Department,38,38,True,616,80.19529
31,q_31,Emergency_Department,38,38,True,636,78.414945
32,q_32,Emergency_Department,62,62,True,451,61.978275
33,q_33,Emergency_Department,indeterminate,indeterminate,True,427,49.658226
34,q_34,Emergency_Department,indeterminate,38,False,494,58.073557
35,q_35,Emergency_Department,36,36,True,716,85.699756
36,q_36,Emergency_Department,62,75,False,821,99.744236
37,q_37,Emergency_Department,38,38,True,609,68.541642
38,q_38,Emergency_Department,62,86,False,513,70.002759
39,q_39,Emergency_Department,24,24,True,403,57.717095
40,q_40,Emergency_Department,24,46,False,532,73.531063
41,q_41,Emergency_Department,36,36,True,1296,152.668234
42,q_42,Emergency_Department,62,62,True,701,86.372722
43,q_43,Emergency_Department,38,38,True,580,65.700569
44,q_44,Emergency_Department,62,41,False,402,59.071692
45,q_45,Emergency_Department,24,24,True,457,60.109291
46,q_46,Emergency_Department,24,45,False,716,95.86567
47,q_47,Emergency_Department,36,36,True,2400,250.670484
48,q_48,Emergency_Department,62,86,False,733,86.704057
49,q_49,Emergency_Department,38,38,True,609,68.52022
50,q_50,Emergency_Department,62,41,False,443,62.542459
51,q_51,Emergency_Department,24,24,True,416,63.277433
52,q_52,Emergency_Department,24,45,False,491,72.024351
53,q_53,Emergency_Department,36,36,True,723,86.751866
54,q_54,Emergency_Department,62,100,False,893,112.636026
55,q_55,Emergency_Department,38,38,True,601,67.132665
56,q_56,Emergency_Department,62,41,False,432,60.110668
57,q_57,Emergency_Department,24,24,True,366,56.614607
58,q_58,Emergency_Department,24,24,True,752,88.832109
59,q_59,Emergency_Department,36,36,True,561,74.468373
60,q_60,Emergency_Department,38,38,True,392,54.533708
61,q_61,Emergency_Department,38,38,True,607,68.173749
62,q_62,Emergency_Department,62,62,True,478,62.912482
63,q_63,Emergency_Department,indeterminate,indeterminate,True,492,64.720996
64,q_64,Emergency_Department,indeterminate,38,False,466,60.83856
65,q_65,Emergency_Department,36,36,True,738,90.608184
66,q_66,Emergency_Department,38,38,True,697,76.915269
67,q_67,Emergency_Department,38,38,True,472,57.319275
68,q_68,Emergency_Department,62,62,True,512,63.655877
