index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,486,4.390888
1,q_1,Emergency_Department,62,62,True,291,5.096476
2,q_2,Emergency_Department,38,38,True,185,2.836455
3,q_3,Emergency_Department,62,62,True,230,2.810909
4,q_4,Emergency_Department,24,24,True,215,3.130902
5,q_5,Emergency_Department,24,24,True,18,3.274277
6,q_6,Emergency_Department,36,36,True,312,4.095594
7,q_7,Emergency_Department,62,62,True,405,4.413357
8,q_8,Emergency_Department,38,38,True,384,4.263198
9,q_9,Emergency_Department,62,62,True,410,2.417549
10,q_10,Emergency_Department,24,24,True,158,2.845809
11,q_11,Emergency_Department,24,24,True,181,3.752452
12,q_12,Emergency_Department,36,36,True,296,4.144619
13,q_13,Emergency_Department,62,62,True,415,4.575922
14,q_14,Emergency_Department,38,38,True,212,4.076588
15,q_15,Emergency_Department,62,62,True,129,2.14457
16,q_16,Emergency_Department,24,24,True,184,3.584175
17,q_17,Emergency_Department,24,24,True,397,3.919471
18,q_18,Emergency_Department,36,36,True,353,4.058972
19,q_19,Emergency_Department,62,62,True,427,3.401218
20,q_20,Emergency_Department,38,38,True,224,3.456914
21,q_21,Emergency_Department,62,62,True,204,3.233036
22,q_22,Emergency_Department,24,24,True,288,3.16829
23,q_23,Emergency_Department,24,24,True,190,4.743641
24,q_24,Emergency_Department,36,36,True,366,4.10644
25,q_25,Emergency_Department,38,38,True,233,3.871592
26,q_26,Emergency_Department,38,38,True,228,3.982173
27,q_27,Emergency_Department,62,62,True,265,2.7776
28,q_28,Emergency_Department,indeterminate,indeterminate,True,208,3.868743
29,q_29,Emergency_Department,36,36,True,368,4.866577
30,q_30,Emergency_Department,38,38,True,336,3.730752
31,q_31,Emergency_Department,38,38,True,199,3.579135
32,q_32,Emergency_Department,62,62,True,238,2.682442
33,q_33,Emergency_Department,indeterminate,indeterminate,True,153,3.715536
34,q_34,Emergency_Department,indeterminate,indeterminate,True,159,3.720102
35,q_35,Emergency_Department,36,36,True,266,5.14655
36,q_36,Emergency_Department,62,62,True,456,3.835843
37,q_37,Emergency_Department,38,38,True,190,3.075226
38,q_38,Emergency_Department,62,41,False,258,5.509243
39,q_39,Emergency_Department,24,24,True,163,4.828865
40,q_40,Emergency_Department,24,46,False,607,7.698932
41,q_41,Emergency_Department,36,36,True,398,4.534343
42,q_42,Emergency_Department,62,62,True,463,5.734236
43,q_43,Emergency_Department,38,38,True,235,2.866974
44,q_44,Emergency_Department,62,21,False,367,5.314426
45,q_45,Emergency_Department,24,24,True,197,3.330696
46,q_46,Emergency_Department,24,62,False,634,13.515793
47,q_47,Emergency_Department,36,36,True,452,4.528027
48,q_48,Emergency_Department,62,62,True,404,4.645263
49,q_49,Emergency_Department,38,38,True,198,3.421012
50,q_50,Emergency_Department,62,21,False,259,3.855448
51,q_51,Emergency_Department,24,24,True,204,3.094818
52,q_52,Emergency_Department,24,62,False,515,6.782475
53,q_53,Emergency_Department,36,36,True,260,4.101321
54,q_54,Emergency_Department,62,62,True,18,3.236138
55,q_55,Emergency_Department,38,38,True,223,2.328501
56,q_56,Emergency_Department,62,21,False,320,4.396484
57,q_57,Emergency_Department,24,24,True,136,2.95396
58,q_58,Emergency_Department,24,62,False,421,7.026612
59,q_59,Emergency_Department,36,36,True,317,6.356578
60,q_60,Emergency_Department,38,38,True,222,4.147633
61,q_61,Emergency_Department,38,38,True,187,4.225255
62,q_62,Emergency_Department,62,62,True,173,3.299814
63,q_63,Emergency_Department,indeterminate,indeterminate,True,295,5.650555
64,q_64,Emergency_Department,indeterminate,indeterminate,True,181,4.639458
65,q_65,Emergency_Department,36,36,True,255,4.326065
66,q_66,Emergency_Department,38,38,True,169,4.872697
67,q_67,Emergency_Department,38,38,True,211,3.450387
68,q_68,Emergency_Department,62,62,True,187,3.323795
69,q_69,Emergency_Department,indeterminate,indeterminate,True,161,3.410254
70,q_70,Emergency_Department,indeterminate,indeterminate,True,18,3.736614
71,q_71,Emergency_Department,30,30,True,361,6.230045
72,q_72,Emergency_Department,57,57,True,285,4.522144
73,q_73,Emergency_Department,37,37,True,230,5.634074
