index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,indeterminate,False,933,10.449355
1,q_1,Emergency_Department,62,62,True,707,7.963006
2,q_2,Emergency_Department,38,38,True,702,7.72789
3,q_3,Emergency_Department,62,62,True,438,5.948717
4,q_4,Emergency_Department,24,24,True,368,4.717744
5,q_5,Emergency_Department,24,24,True,573,6.673082
6,q_6,Emergency_Department,36,indeterminate,False,752,7.889111
7,q_7,Emergency_Department,62,38,False,1146,12.81327
8,q_8,Emergency_Department,38,38,True,531,6.364414
9,q_9,Emergency_Department,62,62,True,322,4.318262
10,q_10,Emergency_Department,24,X,False,18,10.479236
11,q_11,Emergency_Department,24,24,True,593,6.582203
12,q_12,Emergency_Department,36,38,False,494,6.519052
13,q_13,Emergency_Department,62,62,True,727,8.751973
14,q_14,Emergency_Department,38,38,True,590,7.091147
15,q_15,Emergency_Department,62,62,True,418,5.735628
16,q_16,Emergency_Department,24,24,True,400,5.099987
17,q_17,Emergency_Department,24,24,True,573,6.608593
18,q_18,Emergency_Department,36,indeterminate,False,752,8.988042
19,q_19,Emergency_Department,62,62,True,683,8.353531
20,q_20,Emergency_Department,38,38,True,492,5.555872
21,q_21,Emergency_Department,62,62,True,357,5.391416
22,q_22,Emergency_Department,24,X,False,18,10.652695
23,q_23,Emergency_Department,24,24,True,571,6.801399
24,q_24,Emergency_Department,36,26,False,796,9.822555
25,q_25,Emergency_Department,38,,False,18,6.848978
26,q_26,Emergency_Department,38,38,True,590,6.598591
27,q_27,Emergency_Department,62,26,False,263,4.270606
28,q_28,Emergency_Department,indeterminate,38,False,499,5.388939
29,q_29,Emergency_Department,36,26,False,757,9.059113
30,q_30,Emergency_Department,38,,False,18,2.080726
31,q_31,Emergency_Department,38,38,True,590,7.27024
32,q_32,Emergency_Department,62,62,True,250,4.113799
33,q_33,Emergency_Department,indeterminate,36,False,598,7.06421
34,q_34,Emergency_Department,indeterminate,indeterminate,True,432,4.846254
35,q_35,Emergency_Department,36,indeterminate,False,1945,19.469199
36,q_36,Emergency_Department,62,62,True,668,8.35855
37,q_37,Emergency_Department,38,46,False,1064,12.400953
38,q_38,Emergency_Department,62,62,True,694,8.204343
39,q_39,Emergency_Department,24,8,False,781,8.633273
40,q_40,Emergency_Department,24,62,False,496,6.084271
41,q_41,Emergency_Department,36,36,True,947,11.635932
42,q_42,Emergency_Department,62,74,False,823,10.947949
43,q_43,Emergency_Department,38,38,True,393,4.575402
44,q_44,Emergency_Department,62,41,False,588,6.26421
45,q_45,Emergency_Department,24,36,False,457,5.908995
46,q_46,Emergency_Department,24,24,True,791,8.673744
47,q_47,Emergency_Department,36,36,True,947,11.655216
48,q_48,Emergency_Department,62,59,False,802,9.920077
49,q_49,Emergency_Department,38,38,True,393,4.593982
50,q_50,Emergency_Department,62,36,False,463,5.779736
51,q_51,Emergency_Department,24,36,False,457,6.138261
52,q_52,Emergency_Department,24,38,False,791,8.715633
53,q_53,Emergency_Department,36,21,False,881,9.972483
54,q_54,Emergency_Department,62,62,True,806,10.415729
55,q_55,Emergency_Department,38,38,True,816,9.215179
56,q_56,Emergency_Department,62,41,False,449,5.3851
57,q_57,Emergency_Department,24,36,False,457,5.98052
58,q_58,Emergency_Department,24,,False,18,169.40565
59,q_59,Emergency_Department,36,36,True,757,8.988368
60,q_60,Emergency_Department,38,38,True,1338,14.376069
61,q_61,Emergency_Department,38,38,True,590,6.745005
62,q_62,Emergency_Department,62,26,False,323,4.112986
63,q_63,Emergency_Department,indeterminate,26,False,258,3.747782
64,q_64,Emergency_Department,indeterminate,indeterminate,True,560,6.339466
65,q_65,Emergency_Department,36,36,True,910,10.837759
66,q_66,Emergency_Department,38,38,True,988,11.198291
67,q_67,Emergency_Department,38,38,True,590,6.534461
68,q_68,Emergency_Department,62,36,False,279,4.303726
69,q_69,Emergency_Department,indeterminate,indeterminate,True,653,7.544715
70,q_70,Emergency_Department,indeterminate,38,False,524,5.755811
71,q_71,Emergency_Department,30,30,True,627,7.331231
72,q_72,Emergency_Department,57,57,True,631,8.028595
73,q_73,Emergency_Department,37,74,False,838,8.993185
74,q_74,Emergency_Department,35,35,True,641,7.805062
75,q_75,Emergency_Department,23,23,True,845,9.431641
76,q_76,Emergency_Department,20,38,False,678,8.293492
77,q_77,Emergency_Department,24,47,False,911,10.293129
78,q_78,Emergency_Department,30,24,False,1223,13.250258
79,q_79,Emergency_Department,57,44,False,18,9.579637
80,q_80,Emergency_Department,37,37,True,538,6.556562
81,q_81,Emergency_Department,35,12,False,18,9.189563
82,q_82,Emergency_Department,23,,False,18,8.614019
83,q_83,Emergency_Department,20,,False,18,9.843331
84,q_84,Emergency_Department,24,47,False,980,10.865429
85,q_85,Emergency_Department,30,30,True,674,8.543583
86,q_86,Emergency_Department,57,44,False,840,10.016806
87,q_87,Emergency_Department,37,37,True,538,6.509599
88,q_88,Emergency_Department,35,23,False,799,8.894949
89,q_89,Emergency_Department,23,23,True,803,9.208195
90,q_90,Emergency_Department,20,38,False,678,8.493864
91,q_91,Emergency_Department,24,47,False,945,10.430781
92,q_92,Emergency_Department,30,30,True,554,7.239392
93,q_93,Emergency_Department,57,57,True,631,7.829219
94,q_94,Emergency_Department,37,74,False,675,8.049098
95,q_95,Emergency_Department,35,12,False,417,6.849346
96,q_96,Emergency_Department,23,50,False,809,9.242801
97,q_97,Emergency_Department,20,38,False,930,10.259797
98,q_98,Emergency_Department,24,47,False,568,7.00406
99,q_99,Emergency_Department,30,indeterminate,False,914,9.617977
100,q_100,Emergency_Department,57,57,True,789,8.886858
