index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,909,7.543555
1,q_1,Emergency_Department,62,62,True,557,4.665085
2,q_2,Emergency_Department,38,38,True,661,6.046752
3,q_3,Emergency_Department,62,62,True,486,2.872918
4,q_4,Emergency_Department,24,24,True,550,3.075005
5,q_5,Emergency_Department,24,24,True,593,2.99324
6,q_6,Emergency_Department,36,36,True,951,7.022292
7,q_7,Emergency_Department,62,62,True,833,4.523263
8,q_8,Emergency_Department,38,38,True,591,4.188203
9,q_9,Emergency_Department,62,62,True,538,2.875138
10,q_10,Emergency_Department,24,24,True,793,5.22586
11,q_11,Emergency_Department,24,24,True,647,4.521218
12,q_12,Emergency_Department,36,36,True,830,4.392919
14,q_14,Emergency_Department,38,38,True,658,3.125285
18,q_18,Emergency_Department,36,36,True,738,5.583979
19,q_19,Emergency_Department,62,62,True,527,3.802138
20,q_20,Emergency_Department,38,38,True,444,3.115245
21,q_21,Emergency_Department,62,62,True,410,2.808415
22,q_22,Emergency_Department,24,24,True,674,3.423625
23,q_23,Emergency_Department,24,24,True,1102,5.629664
24,q_24,Emergency_Department,36,36,True,841,6.072057
25,q_25,Emergency_Department,38,38,True,793,4.035241
26,q_26,Emergency_Department,38,38,True,718,3.359951
27,q_27,Emergency_Department,62,62,True,589,3.206926
28,q_28,Emergency_Department,indeterminate,indeterminate,True,530,4.144906
37,q_37,Emergency_Department,38,38,True,782,4.129079
39,q_39,Emergency_Department,24,24,True,739,4.152346
40,q_40,Emergency_Department,24,24,True,2652,29.597562
41,q_41,Emergency_Department,36,36,True,1115,7.324833
42,q_42,Emergency_Department,62,62,True,757,3.601122
43,q_43,Emergency_Department,38,38,True,366,3.909097
44,q_44,Emergency_Department,62,62,True,1900,6.293019
45,q_45,Emergency_Department,24,24,True,405,2.551181
46,q_46,Emergency_Department,24,24,True,2632,19.616706
47,q_47,Emergency_Department,36,36,True,1678,12.898385
48,q_48,Emergency_Department,62,62,True,962,6.249745
49,q_49,Emergency_Department,38,38,True,604,2.808279
50,q_50,Emergency_Department,62,41,False,347,2.537339
51,q_51,Emergency_Department,24,24,True,490,2.971143
52,q_52,Emergency_Department,24,24,True,1151,5.427592
53,q_53,Emergency_Department,36,36,True,1413,17.124301
54,q_54,Emergency_Department,62,62,True,18,4.525217
55,q_55,Emergency_Department,38,38,True,598,2.748149
56,q_56,Emergency_Department,62,41,False,391,2.609533
57,q_57,Emergency_Department,24,24,True,507,2.993898
58,q_58,Emergency_Department,24,24,True,1363,6.014962
59,q_59,Emergency_Department,36,36,True,18,4.726163
60,q_60,Emergency_Department,38,38,True,908,4.014164
61,q_61,Emergency_Department,38,38,True,622,4.123768
62,q_62,Emergency_Department,62,62,True,589,3.213193
63,q_63,Emergency_Department,indeterminate,indeterminate,True,626,3.448635
74,q_74,Emergency_Department,35,35,True,1317,19.019268
75,q_75,Emergency_Department,23,23,True,968,5.799575
76,q_76,Emergency_Department,20,20,True,1247,5.699834
77,q_77,Emergency_Department,24,24,True,1105,5.614564
78,q_78,Emergency_Department,30,30,True,2568,17.006979
79,q_79,Emergency_Department,57,57,True,704,5.323945
80,q_80,Emergency_Department,37,37,True,1531,6.696178
81,q_81,Emergency_Department,35,35,True,617,4.07049
82,q_82,Emergency_Department,23,23,True,771,5.969106
83,q_83,Emergency_Department,20,20,True,4071,9.047244
84,q_84,Emergency_Department,24,24,True,473,4.307237
85,q_85,Emergency_Department,30,30,True,1711,7.578988
86,q_86,Emergency_Department,57,57,True,18,4.14467
87,q_87,Emergency_Department,37,37,True,1195,6.201058
88,q_88,Emergency_Department,35,59,False,1388,17.026602
89,q_89,Emergency_Department,23,23,True,1085,8.275941
90,q_90,Emergency_Department,20,20,True,1413,5.935842
91,q_91,Emergency_Department,24,24,True,18,5.237995
92,q_92,Emergency_Department,30,30,True,18,15.425255
93,q_93,Emergency_Department,57,57,True,1088,6.373052
94,q_94,Emergency_Department,37,37,True,786,4.797371
95,q_95,Emergency_Department,35,35,True,1008,6.248005
96,q_96,Emergency_Department,23,23,True,1328,5.844797
97,q_97,Emergency_Department,20,20,True,878,4.777725
98,q_98,Emergency_Department,24,24,True,1260,5.609006
99,q_99,Emergency_Department,30,30,True,1462,6.893966
100,q_100,Emergency_Department,57,57,True,468,3.588238
101,q_101,Emergency_Department,37,37,True,1153,7.14042
102,q_102,Emergency_Department,35,35,True,18,7.194648
103,q_103,Emergency_Department,23,23,True,973,5.071124
104,q_104,Emergency_Department,20,20,True,1067,5.522222
105,q_105,Emergency_Department,24,24,True,738,6.919936
106,q_106,Emergency_Department,30,30,True,18,8.958023
107,q_107,Emergency_Department,57,57,True,783,3.987146
108,q_108,Emergency_Department,37,37,True,18,4.732858
109,q_109,Emergency_Department,35,35,True,1754,7.776879
110,q_110,Emergency_Department,23,23,True,706,4.217485
111,q_111,Emergency_Department,20,20,True,991,4.992018
112,q_112,Emergency_Department,24,24,True,994,6.613967
113,q_113,UMDvsUNC,34,34,True,488,3.16095
114,q_114,UMDvsUNC,69,69,True,374,3.413837
115,q_115,UMDvsUNC,35,35,True,767,5.809794
116,q_116,UMDvsUNC,14,14,True,393,4.44256
118,q_118,UMDvsUNC,23,8,False,593,3.448126
119,q_119,UMDvsUNC,16,10,False,428,3.966909
120,q_120,UMDvsUNC,10,6,False,983,4.639447
121,q_121,UMDvsUNC,34,34,True,364,2.998914
122,q_122,UMDvsUNC,69,69,True,536,4.917117
123,q_123,UMDvsUNC,35,35,True,18,4.809355
124,q_124,UMDvsUNC,14,14,True,622,3.695905
125,q_125,UMDvsUNC,15,15,True,406,2.986835
126,q_126,UMDvsUNC,23,23,True,1337,9.433171
127,q_127,UMDvsUNC,10,10,True,411,3.183934
128,q_128,UMDvsUNC,indeterminate,indeterminate,True,882,4.263998
135,q_135,UMDvsUNC,indeterminate,indeterminate,True,714,4.895157
136,q_136,UMDvsUNC,indeterminate,indeterminate,True,1045,5.403182
137,q_137,UMDvsUNC,34,34,True,428,2.86476
138,q_138,UMDvsUNC,69,69,True,404,2.766818
139,q_139,UMDvsUNC,35,35,True,795,4.308555
140,q_140,UMDvsUNC,14,14,True,831,3.224046
141,q_141,UMDvsUNC,15,15,True,513,2.978085
142,q_142,UMDvsUNC,15,15,True,998,4.704058
143,q_143,UMDvsUNC,indeterminate,indeterminate,True,719,4.430737
144,q_144,UMDvsUNC,indeterminate,indeterminate,True,1114,4.403763
145,q_145,UMDvsUNC,34,34,True,671,4.189723
148,q_148,UMDvsUNC,indeterminate,indeterminate,True,18,24.014357
149,q_149,UMDvsUNC,indeterminate,indeterminate,True,676,4.046184
150,q_150,UMDvsUNC,indeterminate,indeterminate,True,1278,6.613989
151,q_151,UMDvsUNC,indeterminate,indeterminate,True,825,3.734999
152,q_152,UMDvsUNC,indeterminate,indeterminate,True,936,5.229709
153,q_153,UMDvsUNC,34,34,True,556,4.472344
154,q_154,UMDvsUNC,69,69,True,551,3.571956
155,q_155,UMDvsUNC,35,35,True,622,3.372791
156,q_156,UMDvsUNC,indeterminate,34,False,18,10.234062
157,q_157,UMDvsUNC,indeterminate,indeterminate,True,18,3.390905
158,q_158,UMDvsUNC,indeterminate,indeterminate,True,1108,6.973343
159,q_159,UMDvsUNC,indeterminate,indeterminate,True,18,3.679027
160,q_160,UMDvsUNC,indeterminate,indeterminate,True,981,4.275094
161,q_161,UMDvsUNC,34,27,False,498,3.906136
162,q_162,UMDvsUNC,60,27,False,387,3.12994
163,q_163,UMDvsUNC,23,11,False,18,9.146426
164,q_164,UMDvsUNC,24,0,False,1235,11.313458
165,q_165,UMDvsUNC,53,65,False,562,3.977547
