dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,28,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,gym->restaurant,52,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,43,0.0,2.0,2.0
Foursquare_NYC,CoreFlow,5.0,restaurant->gym,52,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,50,1.0,3.0,2.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,87,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,112,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->fast food,71,1.0,2.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->restaurant,337,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,restaurant->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->exit,0,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->fast food,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->restaurant,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->fast food,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->fast food,337,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,exit->exit,0,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,fast food->exit,182,1.0,2.0,1.0
Foursquare_NYC,CoreFlow,25.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->fast food,71,1.0,2.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->fast food,76,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->restaurant,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,gym->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->fast food,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->gym,292,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->gym,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,fast food->restaurant,182,0.0,1.0,1.0
