index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,236,4.705985
1,q_1,Emergency_Department,62,62,True,141,3.937087
2,q_2,Emergency_Department,38,38,True,215,3.513328
3,q_3,Emergency_Department,62,24,False,192,3.436243
4,q_4,Emergency_Department,24,24,True,182,3.418313
5,q_5,Emergency_Department,24,24,True,136,3.153634
6,q_6,Emergency_Department,36,36,True,357,4.226296
7,q_7,Emergency_Department,62,62,True,198,4.340399
8,q_8,Emergency_Department,38,38,True,224,3.185783
9,q_9,Emergency_Department,62,62,True,77,2.799544
10,q_10,Emergency_Department,24,24,True,78,2.948103
11,q_11,Emergency_Department,24,2,False,104,3.365311
12,q_12,Emergency_Department,36,36,True,346,4.110867
13,q_13,Emergency_Department,62,62,True,395,5.005847
14,q_14,Emergency_Department,38,38,True,514,5.208344
15,q_15,Emergency_Department,62,62,True,77,2.825982
16,q_16,Emergency_Department,24,24,True,154,3.225487
17,q_17,Emergency_Department,24,2,False,104,3.389079
18,q_18,Emergency_Department,36,36,True,344,5.572425
19,q_19,Emergency_Department,62,62,True,203,4.000303
20,q_20,Emergency_Department,38,38,True,84,3.098398
21,q_21,Emergency_Department,62,62,True,77,2.843815
22,q_22,Emergency_Department,24,24,True,186,3.522742
23,q_23,Emergency_Department,24,24,True,222,4.151279
24,q_24,Emergency_Department,36,36,True,206,3.660015
25,q_25,Emergency_Department,38,38,True,190,3.114157
26,q_26,Emergency_Department,38,38,True,239,3.067817
27,q_27,Emergency_Department,62,36,False,179,3.021604
28,q_28,Emergency_Department,indeterminate,indeterminate,True,148,3.425445
29,q_29,Emergency_Department,36,36,True,237,3.987456
30,q_30,Emergency_Department,38,38,True,241,4.917694
31,q_31,Emergency_Department,38,38,True,94,3.065891
32,q_32,Emergency_Department,62,36,False,222,3.280413
33,q_33,Emergency_Department,indeterminate,indeterminate,True,277,3.599253
34,q_34,Emergency_Department,indeterminate,indeterminate,True,160,3.854935
35,q_35,Emergency_Department,36,36,True,300,4.160389
36,q_36,Emergency_Department,62,62,True,153,6.883666
37,q_37,Emergency_Department,38,38,True,213,3.656498
38,q_38,Emergency_Department,62,45,False,190,3.627446
39,q_39,Emergency_Department,24,24,True,181,4.190211
40,q_40,Emergency_Department,24,62,False,248,5.263521
41,q_41,Emergency_Department,36,36,True,194,4.069552
42,q_42,Emergency_Department,62,62,True,248,4.722947
43,q_43,Emergency_Department,38,38,True,98,4.35289
44,q_44,Emergency_Department,62,21,False,72,4.40749
45,q_45,Emergency_Department,24,24,True,194,3.25604
46,q_46,Emergency_Department,24,65,False,289,4.554128
47,q_47,Emergency_Department,36,21,False,256,4.642699
48,q_48,Emergency_Department,62,79,False,179,7.038827
49,q_49,Emergency_Department,38,38,True,203,3.428858
50,q_50,Emergency_Department,62,21,False,191,2.683244
51,q_51,Emergency_Department,24,24,True,177,3.542456
52,q_52,Emergency_Department,24,65,False,280,4.550333
53,q_53,Emergency_Department,36,36,True,158,4.046419
54,q_54,Emergency_Department,62,62,True,244,6.618882
55,q_55,Emergency_Department,38,38,True,97,3.816664
56,q_56,Emergency_Department,62,36,False,289,5.529148
57,q_57,Emergency_Department,24,24,True,208,3.705503
58,q_58,Emergency_Department,24,62,False,332,6.321308
59,q_59,Emergency_Department,36,36,True,199,3.982228
60,q_60,Emergency_Department,38,38,True,213,4.198149
61,q_61,Emergency_Department,38,38,True,188,3.849296
62,q_62,Emergency_Department,62,62,True,188,2.901727
63,q_63,Emergency_Department,indeterminate,indeterminate,True,484,5.047523
64,q_64,Emergency_Department,indeterminate,38,False,283,4.923342
65,q_65,Emergency_Department,36,36,True,191,3.540972
66,q_66,Emergency_Department,38,38,True,339,3.911393
67,q_67,Emergency_Department,38,38,True,379,2.698689
68,q_68,Emergency_Department,62,62,True,392,3.366016
69,q_69,Emergency_Department,indeterminate,indeterminate,True,254,6.008034
70,q_70,Emergency_Department,indeterminate,38,False,221,6.023112
71,q_71,Emergency_Department,30,18,False,203,6.146485
72,q_72,Emergency_Department,57,20,False,319,5.534723
73,q_73,Emergency_Department,37,37,True,228,4.912999
74,q_74,Emergency_Department,35,35,True,186,4.733238
75,q_75,Emergency_Department,23,23,True,111,3.29087
76,q_76,Emergency_Department,20,20,True,286,5.962942
77,q_77,Emergency_Department,24,24,True,76,3.432911
78,q_78,Emergency_Department,30,30,True,18,5.819788
79,q_79,Emergency_Department,57,57,True,108,3.894492
80,q_80,Emergency_Department,37,37,True,198,4.645201
81,q_81,Emergency_Department,35,23,False,135,5.407409
82,q_82,Emergency_Department,23,23,True,223,4.578908
83,q_83,Emergency_Department,20,20,True,132,4.642772
84,q_84,Emergency_Department,24,24,True,195,4.766515
85,q_85,Emergency_Department,30,13,False,18,5.052161
86,q_86,Emergency_Department,57,57,True,144,5.828597
87,q_87,Emergency_Department,37,37,True,263,6.505869
88,q_88,Emergency_Department,35,35,True,191,5.072142
89,q_89,Emergency_Department,23,23,True,1517,4.687489
90,q_90,Emergency_Department,20,20,True,208,4.076358
91,q_91,Emergency_Department,24,23,False,106,3.714535
