dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,15.0,3.0,0.15789473684210525,12.0,0.2,0.15789473684210525,0.17647058823529413
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,5.0,23.0,8.0,3.0,0.13043478260869565,5.0,0.375,0.13043478260869565,0.19354838709677416
career,CoreFlow,10.0,19.0,13.0,6.0,0.3157894736842105,7.0,0.46153846153846156,0.3157894736842105,0.37499999999999994
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago_baseball,CoreFlow,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago_baseball,SentenTree,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,CoreFlow,5.0,17.0,13.0,6.0,0.35294117647058826,7.0,0.46153846153846156,0.35294117647058826,0.4000000000000001
pediatric_trauma,SentenTree,5.0,30.0,17.0,3.0,0.1,14.0,0.17647058823529413,0.1,0.12765957446808512
process_mining,CoreFlow,5.0,19.0,12.0,6.0,0.3157894736842105,6.0,0.5,0.3157894736842105,0.3870967741935484
test,CoreFlow,5.0,20.0,14.0,7.0,0.35,7.0,0.5,0.35,0.4117647058823529
test,SentenTree,5.0,37.0,94.0,20.0,0.5405405405405406,74.0,0.2127659574468085,0.5405405405405406,0.3053435114503817
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vast_1000,SentenTree,5.0,36.0,30.0,15.0,0.4166666666666667,15.0,0.5,0.4166666666666667,0.45454545454545453
