index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds,thinking_tokens,total_tokens,thinking_enabled
0,q_0,Emergency_Department,36,36,True,1557,8.146757,0,0,False
1,q_1,Emergency_Department,62,62,True,917,5.913023,0,0,False
2,q_2,Emergency_Department,38,38,True,802,5.464648,0,0,False
3,q_3,Emergency_Department,62,62,True,731,7.729692,0,0,False
4,q_4,Emergency_Department,24,24,True,621,6.545187,0,0,False
5,q_5,Emergency_Department,24,24,True,782,8.853688,0,0,False
6,q_6,Emergency_Department,36,36,True,1278,11.711749,0,0,False
7,q_7,Emergency_Department,62,62,True,1551,10.146404,0,0,False
8,q_8,Emergency_Department,38,38,True,807,11.074465,0,0,False
9,q_9,Emergency_Department,62,62,True,720,5.093777,0,0,False
10,q_10,Emergency_Department,24,24,True,809,6.130965,0,0,False
11,q_11,Emergency_Department,24,24,True,688,6.49108,0,0,False
12,q_12,Emergency_Department,36,36,True,1254,7.797016,0,0,False
13,q_13,Emergency_Department,62,62,True,1566,8.218149,0,0,False
14,q_14,Emergency_Department,38,38,True,707,5.798492,0,0,False
15,q_15,Emergency_Department,62,62,True,607,4.846963,0,0,False
16,q_16,Emergency_Department,24,24,True,870,6.092957,0,0,False
17,q_17,Emergency_Department,24,24,True,535,5.587983,0,0,False
18,q_18,Emergency_Department,36,36,True,1266,9.953968,0,0,False
19,q_19,Emergency_Department,62,62,True,1048,9.852954,0,0,False
20,q_20,Emergency_Department,38,38,True,615,4.440048,0,0,False
21,q_21,Emergency_Department,62,62,True,388,4.033581,0,0,False
22,q_22,Emergency_Department,24,24,True,835,6.503893,0,0,False
23,q_23,Emergency_Department,24,24,True,677,5.866534,0,0,False
24,q_24,Emergency_Department,36,36,True,670,11.328323,0,0,False
25,q_25,Emergency_Department,38,38,True,965,6.435502,0,0,False
26,q_26,Emergency_Department,38,38,True,699,5.543187,0,0,False
27,q_27,Emergency_Department,62,62,True,702,5.015245,0,0,False
28,q_28,Emergency_Department,indeterminate,indeterminate,True,720,5.725057,0,0,False
29,q_29,Emergency_Department,36,36,True,985,6.633085,0,0,False
30,q_30,Emergency_Department,38,38,True,642,4.129843,0,0,False
31,q_31,Emergency_Department,38,38,True,757,10.131701,0,0,False
32,q_32,Emergency_Department,62,62,True,630,5.049765,0,0,False
33,q_33,Emergency_Department,indeterminate,indeterminate,True,1150,6.169372,0,0,False
34,q_34,Emergency_Department,indeterminate,indeterminate,True,634,4.161611,0,0,False
35,q_35,Emergency_Department,36,36,True,2845,43.562354,0,0,False
36,q_36,Emergency_Department,62,62,True,3248,71.213417,0,0,False
37,q_37,Emergency_Department,38,38,True,760,8.322582,0,0,False
38,q_38,Emergency_Department,62,41,False,593,5.493752,0,0,False
39,q_39,Emergency_Department,24,24,True,1321,8.616227,0,0,False
40,q_40,Emergency_Department,24,24,True,4038,88.520682,0,0,False
41,q_41,Emergency_Department,36,36,True,2916,47.413396,0,0,False
42,q_42,Emergency_Department,62,62,True,1314,8.241887,0,0,False
43,q_43,Emergency_Department,38,38,True,886,5.731074,0,0,False
44,q_44,Emergency_Department,62,41,False,551,7.062241,0,0,False
45,q_45,Emergency_Department,24,24,True,753,6.099786,0,0,False
46,q_46,Emergency_Department,24,24,True,4273,89.323333,0,0,False
47,q_47,Emergency_Department,36,36,True,2644,49.028277,0,0,False
48,q_48,Emergency_Department,62,62,True,2547,58.337007,0,0,False
49,q_49,Emergency_Department,38,38,True,863,6.04055,0,0,False
50,q_50,Emergency_Department,62,41,False,813,5.622193,0,0,False
51,q_51,Emergency_Department,24,24,True,698,6.029459,0,0,False
52,q_52,Emergency_Department,24,24,True,4197,88.75722,0,0,False
53,q_53,Emergency_Department,36,36,True,3167,68.000753,0,0,False
54,q_54,Emergency_Department,62,62,True,1508,14.5201,0,0,False
55,q_55,Emergency_Department,38,38,True,808,6.468014,0,0,False
56,q_56,Emergency_Department,62,41,False,660,6.556817,0,0,False
57,q_57,Emergency_Department,24,24,True,638,5.668762,0,0,False
58,q_58,Emergency_Department,24,24,True,2110,49.458233,0,0,False
59,q_59,Emergency_Department,36,36,True,1284,8.253865,0,0,False
60,q_60,Emergency_Department,38,38,True,901,5.082207,0,0,False
61,q_61,Emergency_Department,38,38,True,761,6.097561,0,0,False
62,q_62,Emergency_Department,62,62,True,811,6.720148,0,0,False
63,q_63,Emergency_Department,indeterminate,0,False,721,5.022297,0,0,False
64,q_64,Emergency_Department,indeterminate,indeterminate,True,559,4.914134,0,0,False
65,q_65,Emergency_Department,36,36,True,1562,9.981621,0,0,False
66,q_66,Emergency_Department,38,38,True,702,4.554856,0,0,False
67,q_67,Emergency_Department,38,38,True,573,5.127828,0,0,False
68,q_68,Emergency_Department,62,62,True,602,4.611274,0,0,False
69,q_69,Emergency_Department,indeterminate,indeterminate,True,713,7.32334,0,0,False
70,q_70,Emergency_Department,indeterminate,indeterminate,True,497,3.572272,0,0,False
71,q_71,Emergency_Department,30,30,True,2967,68.088395,0,0,False
72,q_72,Emergency_Department,57,57,True,1574,9.307899,0,0,False
73,q_73,Emergency_Department,37,37,True,2774,28.210676,0,0,False
74,q_74,Emergency_Department,35,35,True,2294,41.539306,0,0,False
75,q_75,Emergency_Department,23,23,True,2535,58.18909,0,0,False
76,q_76,Emergency_Department,20,20,True,2826,39.145717,0,0,False
77,q_77,Emergency_Department,24,24,True,2561,14.760237,0,0,False
78,q_78,Emergency_Department,30,30,True,3333,76.854196,0,0,False
79,q_79,Emergency_Department,57,57,True,2440,25.390715,0,0,False
80,q_80,Emergency_Department,37,37,True,1757,12.98148,0,0,False
81,q_81,Emergency_Department,35,35,True,3201,60.091426,0,0,False
82,q_82,Emergency_Department,23,23,True,2327,56.406868,0,0,False
83,q_83,Emergency_Department,20,20,True,2989,67.789381,0,0,False
84,q_84,Emergency_Department,24,24,True,1492,11.641984,0,0,False
85,q_85,Emergency_Department,30,30,True,2718,15.439552,0,0,False
86,q_86,Emergency_Department,57,57,True,1203,7.701765,0,0,False
87,q_87,Emergency_Department,37,37,True,1525,9.179511,0,0,False
88,q_88,Emergency_Department,35,35,True,1834,17.440236,0,0,False
89,q_89,Emergency_Department,23,23,True,1642,11.425801,0,0,False
90,q_90,Emergency_Department,20,20,True,2742,55.527835,0,0,False
91,q_91,Emergency_Department,24,24,True,2189,23.845604,0,0,False
92,q_92,Emergency_Department,30,30,True,3131,80.627767,0,0,False
93,q_93,Emergency_Department,57,57,True,2074,43.660838,0,0,False
94,q_94,Emergency_Department,37,37,True,2053,18.766675,0,0,False
95,q_95,Emergency_Department,35,35,True,2773,85.334477,0,0,False
96,q_96,Emergency_Department,23,23,True,2524,38.629165,0,0,False
97,q_97,Emergency_Department,20,20,True,2299,32.236085,0,0,False
98,q_98,Emergency_Department,24,24,True,1937,16.001204,0,0,False
99,q_99,Emergency_Department,30,30,True,3252,81.849373,0,0,False
100,q_100,Emergency_Department,57,57,True,2227,32.606439,0,0,False
101,q_101,Emergency_Department,37,37,True,2584,41.78326,0,0,False
102,q_102,Emergency_Department,35,59,False,2729,101.775331,0,0,False
103,q_103,Emergency_Department,23,23,True,2150,15.140255,0,0,False
104,q_104,Emergency_Department,20,20,True,2957,47.6683,0,0,False
105,q_105,Emergency_Department,24,24,True,1929,11.950282,0,0,False
106,q_106,Emergency_Department,30,30,True,3966,92.575017,0,0,False
107,q_107,Emergency_Department,57,57,True,1386,9.471681,0,0,False
108,q_108,Emergency_Department,37,37,True,2161,18.769735,0,0,False
109,q_109,Emergency_Department,35,35,True,3066,63.674926,0,0,False
110,q_110,Emergency_Department,23,23,True,1778,14.610063,0,0,False
111,q_111,Emergency_Department,20,20,True,3084,69.61008,0,0,False
