index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,526,9.109227
1,q_1,Emergency_Department,62,62,True,63,5.421088
2,q_2,Emergency_Department,38,38,True,189,6.494157
3,q_3,Emergency_Department,62,62,True,192,5.945211
4,q_4,Emergency_Department,24,24,True,129,7.754249
5,q_5,Emergency_Department,24,24,True,185,7.690454
6,q_6,Emergency_Department,36,38,False,622,7.034844
7,q_7,Emergency_Department,62,62,True,229,8.74292
8,q_8,Emergency_Department,38,38,True,189,9.329392
9,q_9,Emergency_Department,62,62,True,280,5.282281
10,q_10,Emergency_Department,24,24,True,266,4.744372
11,q_11,Emergency_Department,24,24,True,168,4.852387
12,q_12,Emergency_Department,36,36,True,524,6.727638
13,q_13,Emergency_Department,62,62,True,51,5.403626
14,q_14,Emergency_Department,38,38,True,154,8.589533
15,q_15,Emergency_Department,62,62,True,280,5.333096
16,q_16,Emergency_Department,24,24,True,222,5.827523
17,q_17,Emergency_Department,24,24,True,155,5.921983
18,q_18,Emergency_Department,36,36,True,646,7.859835
19,q_19,Emergency_Department,62,62,True,122,5.216323
20,q_20,Emergency_Department,38,38,True,347,11.099258
21,q_21,Emergency_Department,62,62,True,270,6.692166
22,q_22,Emergency_Department,24,24,True,278,6.140431
23,q_23,Emergency_Department,24,24,True,163,4.943568
24,q_24,Emergency_Department,36,36,True,251,5.028331
25,q_25,Emergency_Department,38,38,True,383,13.834674
26,q_26,Emergency_Department,38,38,True,328,5.765434
27,q_27,Emergency_Department,62,62,True,270,6.820822
28,q_28,Emergency_Department,indeterminate,38,False,269,8.136632
29,q_29,Emergency_Department,36,36,True,183,4.474223
30,q_30,Emergency_Department,38,64,False,289,6.977455
31,q_31,Emergency_Department,38,38,True,328,5.147793
32,q_32,Emergency_Department,62,62,True,254,6.252717
33,q_33,Emergency_Department,indeterminate,0,False,372,7.54622
34,q_34,Emergency_Department,indeterminate,38,False,415,8.625079
35,q_35,Emergency_Department,36,36,True,134,7.381683
36,q_36,Emergency_Department,62,62,True,199,7.294298
37,q_37,Emergency_Department,38,38,True,151,6.248986
38,q_38,Emergency_Department,62,21,False,175,8.91774
39,q_39,Emergency_Department,24,24,True,235,6.971702
40,q_40,Emergency_Department,24,62,False,229,9.778033
41,q_41,Emergency_Department,36,36,True,674,7.347582
42,q_42,Emergency_Department,62,62,True,279,5.944597
43,q_43,Emergency_Department,38,38,True,231,6.665273
44,q_44,Emergency_Department,62,41,False,405,7.128824
45,q_45,Emergency_Department,24,24,True,206,7.627206
46,q_46,Emergency_Department,24,24,True,260,6.901816
47,q_47,Emergency_Department,36,36,True,131,5.395791
48,q_48,Emergency_Department,62,62,True,132,7.498309
49,q_49,Emergency_Department,38,38,True,199,8.187003
50,q_50,Emergency_Department,62,41,False,164,8.553373
51,q_51,Emergency_Department,24,24,True,186,5.879937
52,q_52,Emergency_Department,24,24,True,246,5.702802
53,q_53,Emergency_Department,36,36,True,620,9.797071
54,q_54,Emergency_Department,62,62,True,171,6.023144
55,q_55,Emergency_Department,38,38,True,199,8.162519
56,q_56,Emergency_Department,62,41,False,199,6.91759
57,q_57,Emergency_Department,24,24,True,204,5.652732
58,q_58,Emergency_Department,24,24,True,224,5.877321
59,q_59,Emergency_Department,36,36,True,366,8.099816
60,q_60,Emergency_Department,38,38,True,172,6.885441
61,q_61,Emergency_Department,38,38,True,240,8.975488
62,q_62,Emergency_Department,62,62,True,189,8.764054
63,q_63,Emergency_Department,indeterminate,indeterminate,True,491,7.839704
64,q_64,Emergency_Department,indeterminate,26,False,236,8.343614
65,q_65,Emergency_Department,36,36,True,209,11.11493
66,q_66,Emergency_Department,38,38,True,140,7.797349
67,q_67,Emergency_Department,38,38,True,606,6.789779
68,q_68,Emergency_Department,62,62,True,270,9.105343
69,q_69,Emergency_Department,indeterminate,indeterminate,True,295,11.943232
70,q_70,Emergency_Department,indeterminate,38,False,141,6.637678
71,q_71,Emergency_Department,30,54,False,198,8.00526
72,q_72,Emergency_Department,57,57,True,208,10.045181
73,q_73,Emergency_Department,37,37,True,210,7.699055
74,q_74,Emergency_Department,35,47,False,236,9.205595
75,q_75,Emergency_Department,23,23,True,189,7.164326
76,q_76,Emergency_Department,20,20,True,258,9.005614
77,q_77,Emergency_Department,24,24,True,197,9.638227
78,q_78,Emergency_Department,30,12,False,393,7.96311
79,q_79,Emergency_Department,57,37,False,249,9.266571
80,q_80,Emergency_Department,37,37,True,281,8.073699
81,q_81,Emergency_Department,35,12,False,224,6.381196
82,q_82,Emergency_Department,23,23,True,154,6.539653
83,q_83,Emergency_Department,20,20,True,188,10.515964
84,q_84,Emergency_Department,24,23,False,217,6.188066
85,q_85,Emergency_Department,30,18,False,551,11.161926
86,q_86,Emergency_Department,57,37,False,109,6.678446
87,q_87,Emergency_Department,37,37,True,336,11.821549
88,q_88,Emergency_Department,35,84,False,481,7.843971
89,q_89,Emergency_Department,23,23,True,140,5.407126
90,q_90,Emergency_Department,20,20,True,175,8.403334
91,q_91,Emergency_Department,24,24,True,226,6.385782
92,q_92,Emergency_Department,30,12,False,261,6.326523
93,q_93,Emergency_Department,57,37,False,268,6.846736
94,q_94,Emergency_Department,37,20,False,286,8.333993
95,q_95,Emergency_Department,35,100,False,269,8.864254
96,q_96,Emergency_Department,23,23,True,189,8.90812
97,q_97,Emergency_Department,20,20,True,175,6.557801
98,q_98,Emergency_Department,24,24,True,212,9.699636
99,q_99,Emergency_Department,30,63,False,412,14.705217
100,q_100,Emergency_Department,57,37,False,349,10.210201
101,q_101,Emergency_Department,37,0,False,268,10.694258
102,q_102,Emergency_Department,35,59,False,265,13.555889
103,q_103,Emergency_Department,23,23,True,194,6.983805
104,q_104,Emergency_Department,20,20,True,233,7.09799
105,q_105,Emergency_Department,24,24,True,141,5.939624
106,q_106,Emergency_Department,30,57,False,808,14.798169
107,q_107,Emergency_Department,57,57,True,351,14.562994
108,q_108,Emergency_Department,37,20,False,331,9.121239
109,q_109,Emergency_Department,35,36,False,219,7.698717
110,q_110,Emergency_Department,23,23,True,219,7.768908
111,q_111,Emergency_Department,20,20,True,285,6.508231
112,q_112,Emergency_Department,24,24,True,219,7.405108
113,q_113,UMDvsUNC,34,34,True,450,9.217515
114,q_114,UMDvsUNC,69,69,True,308,7.5774
115,q_115,UMDvsUNC,35,35,True,61,8.772815
116,q_116,UMDvsUNC,14,14,True,198,9.797391
117,q_117,UMDvsUNC,15,21,False,266,5.79117
118,q_118,UMDvsUNC,23,43,False,405,7.259075
119,q_119,UMDvsUNC,16,10,False,223,5.767169
120,q_120,UMDvsUNC,10,10,True,450,6.738224
121,q_121,UMDvsUNC,34,34,True,368,7.19776
122,q_122,UMDvsUNC,69,69,True,225,4.93424
123,q_123,UMDvsUNC,35,32,False,319,12.830935
124,q_124,UMDvsUNC,14,14,True,282,9.927598
125,q_125,UMDvsUNC,15,15,True,198,9.085845
126,q_126,UMDvsUNC,23,23,True,362,8.040623
127,q_127,UMDvsUNC,10,10,True,365,7.298356
128,q_128,UMDvsUNC,indeterminate,8,False,384,5.833745
129,q_129,UMDvsUNC,34,34,True,245,6.624915
130,q_130,UMDvsUNC,69,69,True,251,4.916076
131,q_131,UMDvsUNC,35,21,False,307,7.439138
132,q_132,UMDvsUNC,14,14,True,199,6.266863
133,q_133,UMDvsUNC,15,15,True,188,8.837153
134,q_134,UMDvsUNC,15,15,True,472,6.650835
135,q_135,UMDvsUNC,indeterminate,indeterminate,True,178,6.702327
136,q_136,UMDvsUNC,indeterminate,15,False,556,7.096144
137,q_137,UMDvsUNC,34,34,True,278,5.216835
138,q_138,UMDvsUNC,69,69,True,241,6.193433
139,q_139,UMDvsUNC,35,35,True,222,7.147868
140,q_140,UMDvsUNC,14,14,True,182,9.924725
141,q_141,UMDvsUNC,15,15,True,426,7.942201
142,q_142,UMDvsUNC,15,15,True,246,6.657068
143,q_143,UMDvsUNC,indeterminate,indeterminate,True,310,6.165866
144,q_144,UMDvsUNC,indeterminate,15,False,588,9.605065
145,q_145,UMDvsUNC,34,34,True,176,7.963833
146,q_146,UMDvsUNC,69,69,True,162,5.496071
147,q_147,UMDvsUNC,35,35,True,302,9.58886
148,q_148,UMDvsUNC,indeterminate,34,False,191,6.429481
149,q_149,UMDvsUNC,indeterminate,34,False,266,5.570913
150,q_150,UMDvsUNC,indeterminate,69,False,223,7.157504
151,q_151,UMDvsUNC,indeterminate,69,False,587,6.804205
152,q_152,UMDvsUNC,indeterminate,indeterminate,True,601,8.274609
153,q_153,UMDvsUNC,34,34,True,296,7.472676
154,q_154,UMDvsUNC,69,69,True,135,5.146187
155,q_155,UMDvsUNC,35,35,True,194,6.466074
156,q_156,UMDvsUNC,indeterminate,34,False,498,5.962231
157,q_157,UMDvsUNC,indeterminate,34,False,271,4.384888
158,q_158,UMDvsUNC,indeterminate,69,False,325,7.838949
