index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,18,35.686455
1,q_1,Emergency_Department,62,62,True,18,49.676302
2,q_2,Emergency_Department,38,38,True,18,34.887062
3,q_3,Emergency_Department,62,62,True,18,23.976734
4,q_4,Emergency_Department,24,24,True,18,27.944036
5,q_5,Emergency_Department,24,24,True,18,57.111467
6,q_6,Emergency_Department,36,36,True,18,52.565679
7,q_7,Emergency_Department,62,62,True,18,45.319974
8,q_8,Emergency_Department,38,38,True,18,30.451548
9,q_9,Emergency_Department,62,62,True,18,23.607178
10,q_10,Emergency_Department,24,24,True,18,27.905279
11,q_11,Emergency_Department,24,24,True,18,46.873388
12,q_12,Emergency_Department,36,36,True,18,40.85907
13,q_13,Emergency_Department,62,62,True,18,53.274935
14,q_14,Emergency_Department,38,38,True,18,35.985836
15,q_15,Emergency_Department,62,62,True,18,25.794658
16,q_16,Emergency_Department,24,24,True,18,25.511395
17,q_17,Emergency_Department,24,24,True,18,46.815126
18,q_18,Emergency_Department,36,36,True,18,33.029457
19,q_19,Emergency_Department,62,62,True,18,45.884898
20,q_20,Emergency_Department,38,38,True,18,35.56821
21,q_21,Emergency_Department,62,62,True,18,24.465695
22,q_22,Emergency_Department,24,24,True,18,29.009209
23,q_23,Emergency_Department,24,24,True,18,31.231568
24,q_24,Emergency_Department,36,36,True,18,38.549268
25,q_25,Emergency_Department,38,38,True,522,24.339152
26,q_26,Emergency_Department,38,38,True,18,30.13652
27,q_27,Emergency_Department,62,62,True,18,21.504107
28,q_28,Emergency_Department,indeterminate,38,False,18,36.371481
29,q_29,Emergency_Department,36,36,True,18,28.547507
30,q_30,Emergency_Department,38,38,True,18,37.521113
31,q_31,Emergency_Department,38,38,True,18,34.249009
32,q_32,Emergency_Department,62,62,True,18,27.885336
33,q_33,Emergency_Department,indeterminate,indeterminate,True,18,29.936886
34,q_34,Emergency_Department,indeterminate,38,False,18,35.844001
35,q_35,Emergency_Department,36,44,False,18,63.298234
36,q_36,Emergency_Department,62,62,True,18,43.552474
37,q_37,Emergency_Department,38,71,False,18,50.027248
38,q_38,Emergency_Department,62,21,False,18,28.40651
39,q_39,Emergency_Department,24,8,False,18,23.959204
40,q_40,Emergency_Department,24,8,False,18,39.526741
41,q_41,Emergency_Department,36,36,True,18,39.06929
42,q_42,Emergency_Department,62,186,False,18,28.434263
43,q_43,Emergency_Department,38,60,False,18,33.316039
44,q_44,Emergency_Department,62,62,True,18,22.75942
45,q_45,Emergency_Department,24,24,True,18,22.871111
46,q_46,Emergency_Department,24,41,False,18,31.949897
47,q_47,Emergency_Department,36,21,False,18,49.962997
