dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,exit->exit,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,28,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,50,1.0,2.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,112,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,87,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,start->fast food,137,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,fast food,64,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,gym/,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,laundry service exit,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,office,42,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,office exit,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,railway exit,1,0.0,2.0,2.0
Foursquare_NYC,Sequence Synopsis,15.0,recreation,1,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,restaurant,9,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,tattoo/piercing,13,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,6,0.0,3.0,3.0
VAST,SentenTree,5.0,entrance->general gate,7,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->ranger-stop,6,0.0,1.0,1.0
