index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,490,4.680503
1,q_1,Emergency_Department,62,62,True,334,3.625507
2,q_2,Emergency_Department,38,38,True,18,8.088945
3,q_3,Emergency_Department,62,62,True,444,8.531475
4,q_4,Emergency_Department,24,24,True,392,5.167104
5,q_5,Emergency_Department,24,24,True,871,8.367222
6,q_6,Emergency_Department,36,36,True,430,4.886007
7,q_7,Emergency_Department,62,62,True,364,3.34109
8,q_8,Emergency_Department,38,38,True,18,12.200987
9,q_9,Emergency_Department,62,62,True,444,7.81612
10,q_10,Emergency_Department,24,24,True,289,3.850924
11,q_11,Emergency_Department,24,24,True,495,6.741715
12,q_12,Emergency_Department,36,36,True,411,5.992686
13,q_13,Emergency_Department,62,62,True,620,10.482957
14,q_14,Emergency_Department,38,38,True,18,7.359177
15,q_15,Emergency_Department,62,62,True,444,6.008603
16,q_16,Emergency_Department,24,24,True,18,8.048825
17,q_17,Emergency_Department,24,24,True,871,14.372284
18,q_18,Emergency_Department,36,36,True,490,5.060935
19,q_19,Emergency_Department,62,62,True,1251,14.413672
20,q_20,Emergency_Department,38,38,True,18,7.632668
21,q_21,Emergency_Department,62,62,True,444,5.344481
22,q_22,Emergency_Department,24,24,True,450,4.918671
23,q_23,Emergency_Department,24,24,True,802,10.897052
24,q_24,Emergency_Department,36,36,True,430,6.61636
25,q_25,Emergency_Department,38,38,True,317,4.471736
26,q_26,Emergency_Department,38,38,True,18,4.487067
27,q_27,Emergency_Department,62,62,True,245,5.516731
28,q_28,Emergency_Department,indeterminate,38,False,599,14.859331
29,q_29,Emergency_Department,36,36,True,434,6.913954
30,q_30,Emergency_Department,38,38,True,18,10.20608
31,q_31,Emergency_Department,38,38,True,18,5.121602
32,q_32,Emergency_Department,62,62,True,439,7.185135
33,q_33,Emergency_Department,indeterminate,26,False,353,6.963431
34,q_34,Emergency_Department,indeterminate,38,False,655,7.490159
35,q_35,Emergency_Department,36,36,True,381,4.223798
36,q_36,Emergency_Department,62,62,True,624,5.721587
37,q_37,Emergency_Department,38,38,True,18,11.155968
38,q_38,Emergency_Department,62,65,False,1108,9.131709
39,q_39,Emergency_Department,24,16,False,389,4.409455
40,q_40,Emergency_Department,24,65,False,923,10.230145
41,q_41,Emergency_Department,36,36,True,565,7.469005
42,q_42,Emergency_Department,62,72,False,901,12.873074
43,q_43,Emergency_Department,38,38,True,468,7.351904
44,q_44,Emergency_Department,62,72,False,937,11.288229
45,q_45,Emergency_Department,24,75,False,1381,15.945895
46,q_46,Emergency_Department,24,24,True,685,7.12519
47,q_47,Emergency_Department,36,21,False,535,6.033823
48,q_48,Emergency_Department,62,62,True,516,12.157235
