dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,71,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,43,1.0,2.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->restaurant,112,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,15,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,65,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,restaurant,63,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,subway,1,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,30,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,7,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,7,1.0,2.0,1.0
VAST,SentenTree,5.0,general gate->camping,15,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->entrance,83,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,4,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,42,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-base->ranger-stop,6,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->camping,11,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->general gate,13,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->general gate,63,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,7,1.0,3.0,2.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,13,1.0,2.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,45,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,camping,5,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,entrance,6,1.0,3.0,2.0
VAST,Sequence Synopsis,5.0,general gate,24,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,ranger-stop,8,0.0,2.0,2.0
VAST,Sequence Synopsis,15.0,camping,14,2.0,3.0,1.0
VAST,Sequence Synopsis,15.0,entrance,6,1.0,3.0,2.0
VAST,Sequence Synopsis,15.0,exit,7,0.0,7.0,7.0
VAST,Sequence Synopsis,15.0,exit,14,1.0,2.0,1.0
VAST,Sequence Synopsis,15.0,general gate,9,0.0,1.0,1.0
VAST,Sequence Synopsis,15.0,ranger-stop,6,2.0,3.0,1.0
VAST,Sequence Synopsis,15.0,ranger-stop,17,2.0,3.0,1.0
VAST,Sequence Synopsis,20.0,entrance,13,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,general gate,2,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,general gate,13,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,9,0.0,1.0,1.0
career,CoreFlow,5.0,bs->conference,40,0.0,1.0,1.0
career,CoreFlow,5.0,conference->exit,2,0.0,1.0,1.0
career,CoreFlow,5.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,5.0,ms->professor,40,0.0,1.0,1.0
career,CoreFlow,5.0,professor->conference,7,0.0,1.0,1.0
career,CoreFlow,5.0,professor->journal,8,0.0,1.0,1.0
career,CoreFlow,5.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,10.0,bs->professor,40,0.0,1.0,1.0
career,CoreFlow,10.0,ms->professor,40,0.0,1.0,1.0
career,CoreFlow,10.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,10.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,5.0,assistant professor->conference,29,0.0,1.0,1.0
