index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,18,10.271141
1,q_1,Emergency_Department,62,62,True,18,10.057245
2,q_2,Emergency_Department,38,38,True,18,7.574021
3,q_3,Emergency_Department,62,62,True,18,7.163307
4,q_4,Emergency_Department,24,24,True,18,6.719803
5,q_5,Emergency_Department,24,24,True,18,7.647888
6,q_6,Emergency_Department,36,36,True,18,8.252077
7,q_7,Emergency_Department,62,62,True,18,9.175716
8,q_8,Emergency_Department,38,38,True,18,7.583482
9,q_9,Emergency_Department,62,62,True,18,7.167267
10,q_10,Emergency_Department,24,24,True,18,9.017202
11,q_11,Emergency_Department,24,24,True,18,8.400028
12,q_12,Emergency_Department,36,36,True,18,8.001699
13,q_13,Emergency_Department,62,62,True,18,7.773759
14,q_14,Emergency_Department,38,38,True,18,8.609804
15,q_15,Emergency_Department,62,62,True,18,7.566079
16,q_16,Emergency_Department,24,24,True,18,7.110314
17,q_17,Emergency_Department,24,24,True,18,29.054997
18,q_18,Emergency_Department,36,36,True,18,8.69878
19,q_19,Emergency_Department,62,62,True,18,7.527914
20,q_20,Emergency_Department,38,38,True,18,9.032905
21,q_21,Emergency_Department,62,62,True,18,6.611127
22,q_22,Emergency_Department,24,24,True,18,8.278014
23,q_23,Emergency_Department,24,24,True,18,11.588181
24,q_24,Emergency_Department,36,36,True,18,12.149891
25,q_25,Emergency_Department,38,38,True,18,6.476834
26,q_26,Emergency_Department,38,38,True,18,7.438649
27,q_27,Emergency_Department,62,62,True,18,6.193601
28,q_28,Emergency_Department,indeterminate,indeterminate,True,18,7.9616
29,q_29,Emergency_Department,36,36,True,18,10.120407
30,q_30,Emergency_Department,38,38,True,18,29.675829
31,q_31,Emergency_Department,38,38,True,18,7.38068
32,q_32,Emergency_Department,62,62,True,18,6.910697
33,q_33,Emergency_Department,indeterminate,26,False,18,9.404817
34,q_34,Emergency_Department,indeterminate,38,False,18,8.78558
35,q_35,Emergency_Department,36,36,True,18,7.603425
36,q_36,Emergency_Department,62,62,True,18,6.607402
37,q_37,Emergency_Department,38,38,True,18,7.422057
38,q_38,Emergency_Department,62,41,False,18,7.493548
39,q_39,Emergency_Department,24,24,True,18,6.430065
40,q_40,Emergency_Department,24,8,False,18,7.064328
41,q_41,Emergency_Department,36,36,True,18,8.383757
42,q_42,Emergency_Department,62,62,True,18,7.97289
43,q_43,Emergency_Department,38,38,True,18,6.919274
44,q_44,Emergency_Department,62,41,False,18,19.243275
45,q_45,Emergency_Department,24,24,True,18,6.180532
46,q_46,Emergency_Department,24,45,False,18,7.866347
47,q_47,Emergency_Department,36,21,False,18,9.497034
48,q_48,Emergency_Department,62,62,True,18,8.948551
49,q_49,Emergency_Department,38,38,True,18,6.017991
50,q_50,Emergency_Department,62,41,False,18,6.321088
51,q_51,Emergency_Department,24,24,True,18,5.754381
52,q_52,Emergency_Department,24,48,False,18,7.987177
53,q_53,Emergency_Department,36,36,True,18,10.279014
54,q_54,Emergency_Department,62,62,True,18,7.889868
55,q_55,Emergency_Department,38,38,True,18,6.480846
56,q_56,Emergency_Department,62,41,False,18,7.581887
57,q_57,Emergency_Department,24,24,True,18,5.862755
58,q_58,Emergency_Department,24,45,False,18,8.706834
59,q_59,Emergency_Department,36,36,True,18,8.535591
60,q_60,Emergency_Department,38,38,True,18,7.505348
61,q_61,Emergency_Department,38,38,True,18,7.919443
62,q_62,Emergency_Department,62,62,True,18,6.737179
63,q_63,Emergency_Department,indeterminate,indeterminate,True,18,7.640712
64,q_64,Emergency_Department,indeterminate,38,False,18,8.991155
65,q_65,Emergency_Department,36,36,True,18,6.915687
66,q_66,Emergency_Department,38,38,True,18,8.062032
67,q_67,Emergency_Department,38,38,True,18,6.350198
68,q_68,Emergency_Department,62,62,True,18,5.959825
69,q_69,Emergency_Department,indeterminate,26,False,18,9.927402
70,q_70,Emergency_Department,indeterminate,indeterminate,True,18,7.216687
71,q_71,Emergency_Department,30,31,False,18,11.19789
72,q_72,Emergency_Department,57,57,True,18,8.107971
73,q_73,Emergency_Department,37,37,True,18,10.355634
74,q_74,Emergency_Department,35,35,True,18,9.711511
75,q_75,Emergency_Department,23,23,True,18,8.458016
76,q_76,Emergency_Department,20,20,True,18,8.001133
77,q_77,Emergency_Department,24,47,False,18,7.720326
78,q_78,Emergency_Department,30,33,False,18,10.191287
79,q_79,Emergency_Department,57,57,True,18,7.933526
80,q_80,Emergency_Department,37,37,True,18,9.415859
81,q_81,Emergency_Department,35,35,True,18,10.211369
82,q_82,Emergency_Department,23,20,False,18,7.606585
83,q_83,Emergency_Department,20,20,True,18,7.961605
84,q_84,Emergency_Department,24,23,False,18,7.612405
85,q_85,Emergency_Department,30,57,False,18,9.808752
86,q_86,Emergency_Department,57,57,True,18,20.844641
87,q_87,Emergency_Department,37,37,True,18,8.570028
88,q_88,Emergency_Department,35,35,True,18,9.854991
89,q_89,Emergency_Department,23,47,False,18,10.95324
90,q_90,Emergency_Department,20,20,True,18,8.297001
91,q_91,Emergency_Department,24,23,False,18,7.686843
92,q_92,Emergency_Department,30,30,True,18,23.456469
93,q_93,Emergency_Department,57,57,True,18,29.653758
94,q_94,Emergency_Department,37,37,True,18,8.682319
95,q_95,Emergency_Department,35,35,True,18,7.546614
96,q_96,Emergency_Department,23,23,True,18,9.133301
97,q_97,Emergency_Department,20,20,True,18,7.583357
98,q_98,Emergency_Department,24,24,True,18,9.002991
99,q_99,Emergency_Department,30,39,False,18,11.581587
100,q_100,Emergency_Department,57,57,True,18,9.066862
101,q_101,Emergency_Department,37,20,False,18,13.854923
102,q_102,Emergency_Department,35,35,True,18,9.05686
103,q_103,Emergency_Department,23,23,True,18,42.874105
104,q_104,Emergency_Department,20,20,True,18,7.755171
105,q_105,Emergency_Department,24,24,True,18,8.273595
106,q_106,Emergency_Department,30,48,False,18,9.887403
107,q_107,Emergency_Department,57,57,True,18,8.20728
108,q_108,Emergency_Department,37,37,True,18,7.088317
109,q_109,Emergency_Department,35,35,True,18,10.180717
110,q_110,Emergency_Department,23,23,True,18,21.947808
111,q_111,Emergency_Department,20,20,True,18,8.805801
112,q_112,Emergency_Department,24,27,False,18,8.385343
113,q_113,UMDvsUNC,34,34,True,18,21.805159
114,q_114,UMDvsUNC,69,34,False,18,7.571361
115,q_115,UMDvsUNC,35,35,True,18,7.998896
116,q_116,UMDvsUNC,14,14,True,18,6.581972
117,q_117,UMDvsUNC,15,15,True,18,6.578504
118,q_118,UMDvsUNC,23,34,False,18,7.37035
119,q_119,UMDvsUNC,16,80,False,18,31.061871
120,q_120,UMDvsUNC,10,6,False,18,20.645718
121,q_121,UMDvsUNC,34,34,True,18,7.277051
122,q_122,UMDvsUNC,69,69,True,18,5.684121
123,q_123,UMDvsUNC,35,35,True,18,7.685924
124,q_124,UMDvsUNC,14,14,True,18,10.319986
125,q_125,UMDvsUNC,15,15,True,18,7.128534
126,q_126,UMDvsUNC,23,18,False,18,15.439031
127,q_127,UMDvsUNC,10,8,False,18,7.49984
128,q_128,UMDvsUNC,indeterminate,10,False,18,10.063297
129,q_129,UMDvsUNC,34,34,True,18,6.885376
130,q_130,UMDvsUNC,69,69,True,18,5.354619
131,q_131,UMDvsUNC,35,35,True,18,9.082122
132,q_132,UMDvsUNC,14,14,True,18,6.466004
133,q_133,UMDvsUNC,15,15,True,18,6.552869
134,q_134,UMDvsUNC,15,15,True,18,9.589802
135,q_135,UMDvsUNC,indeterminate,indeterminate,True,18,9.084681
136,q_136,UMDvsUNC,indeterminate,indeterminate,True,18,8.798214
137,q_137,UMDvsUNC,34,34,True,18,25.65991
138,q_138,UMDvsUNC,69,69,True,18,6.055654
139,q_139,UMDvsUNC,35,14,False,18,8.058958
140,q_140,UMDvsUNC,14,14,True,18,7.32576
141,q_141,UMDvsUNC,15,15,True,18,7.72739
142,q_142,UMDvsUNC,15,36,False,18,10.346726
143,q_143,UMDvsUNC,indeterminate,indeterminate,True,18,18.681123
144,q_144,UMDvsUNC,indeterminate,indeterminate,True,18,8.756565
145,q_145,UMDvsUNC,34,34,True,18,6.665741
146,q_146,UMDvsUNC,69,69,True,18,6.137594
147,q_147,UMDvsUNC,35,35,True,18,8.380221
148,q_148,UMDvsUNC,indeterminate,34,False,18,7.006813
149,q_149,UMDvsUNC,indeterminate,0,False,18,10.968862
150,q_150,UMDvsUNC,indeterminate,69,False,18,8.923589
151,q_151,UMDvsUNC,indeterminate,indeterminate,True,18,13.124966
152,q_152,UMDvsUNC,indeterminate,indeterminate,True,18,6.519828
153,q_153,UMDvsUNC,34,34,True,18,7.444742
154,q_154,UMDvsUNC,69,69,True,18,6.133547
155,q_155,UMDvsUNC,35,35,True,18,8.381707
156,q_156,UMDvsUNC,indeterminate,34,False,18,6.668348
157,q_157,UMDvsUNC,indeterminate,0,False,18,23.080276
158,q_158,UMDvsUNC,indeterminate,35,False,18,8.076097
159,q_159,UMDvsUNC,indeterminate,indeterminate,True,18,7.534833
160,q_160,UMDvsUNC,indeterminate,indeterminate,True,18,7.686201
161,q_161,UMDvsUNC,34,27,False,18,8.45352
162,q_162,UMDvsUNC,60,69,False,18,31.411508
163,q_163,UMDvsUNC,23,4,False,18,9.224814
164,q_164,UMDvsUNC,24,15,False,18,13.625042
165,q_165,UMDvsUNC,53,61,False,18,8.549219
166,q_166,UMDvsUNC,8,8,True,18,14.199656
167,q_167,UMDvsUNC,4,4,True,18,9.114003
168,q_168,UMDvsUNC,34,9,False,18,7.548633
169,q_169,UMDvsUNC,69,15,False,18,9.792021
170,q_170,UMDvsUNC,22,22,True,18,35.520393
171,q_171,UMDvsUNC,24,24,True,18,25.835486
172,q_172,UMDvsUNC,49,22,False,18,6.675634
173,q_173,UMDvsUNC,8,8,True,18,8.170073
174,q_174,UMDvsUNC,indeterminate,indeterminate,True,18,7.719649
175,q_175,UMDvsUNC,34,34,True,18,7.244846
176,q_176,UMDvsUNC,69,35,False,18,7.195875
177,q_177,UMDvsUNC,22,22,True,18,10.732874
178,q_178,UMDvsUNC,24,35,False,18,8.39538
179,q_179,UMDvsUNC,49,38,False,18,6.473681
180,q_180,UMDvsUNC,indeterminate,0,False,18,9.737536
181,q_181,UMDvsUNC,indeterminate,indeterminate,True,18,6.994588
182,q_182,UMDvsUNC,34,34,True,18,6.859294
183,q_183,UMDvsUNC,69,15,False,18,8.884071
184,q_184,UMDvsUNC,22,22,True,18,8.173104
185,q_185,UMDvsUNC,24,24,True,18,8.708849
186,q_186,UMDvsUNC,49,49,True,18,5.45208
187,q_187,UMDvsUNC,indeterminate,indeterminate,True,18,17.135126
188,q_188,UMDvsUNC,indeterminate,indeterminate,True,18,6.611002
189,q_189,UMDvsUNC,34,34,True,18,6.974212
190,q_190,UMDvsUNC,69,24,False,18,6.483265
191,q_191,UMDvsUNC,22,22,True,18,8.033466
192,q_192,UMDvsUNC,24,46,False,18,8.962346
193,q_193,UMDvsUNC,34,24,False,18,6.366745
194,q_194,UMDvsUNC,indeterminate,indeterminate,True,18,6.705796
195,q_195,UMDvsUNC,indeterminate,indeterminate,True,18,6.773323
196,q_196,UMDvsUNC,34,34,True,18,6.797607
197,q_197,UMDvsUNC,69,24,False,18,6.194707
198,q_198,UMDvsUNC,22,22,True,18,5.647981
199,q_199,UMDvsUNC,24,24,True,18,8.460021
200,q_200,UMDvsUNC,34,24,False,18,8.08363
201,q_201,UMDvsUNC,indeterminate,indeterminate,True,18,7.425982
202,q_202,UMDvsUNC,indeterminate,indeterminate,True,18,10.61687
203,q_203,UMDvsUNC,1,1,True,18,11.453411
204,q_204,UMDvsUNC,21,21,True,18,31.853681
205,q_205,UMDvsUNC,33,58,False,18,9.076757
206,q_206,UMDvsUNC,28,35,False,18,8.186115
207,q_207,UMDvsUNC,42,49,False,18,9.36616
208,q_208,UMDvsUNC,indeterminate,21,False,18,8.640177
209,q_209,UMDvsUNC,21,45,False,18,13.899739
210,q_210,UMDvsUNC,1,1,True,18,11.732793
211,q_211,UMDvsUNC,21,36,False,18,11.443416
212,q_212,UMDvsUNC,50,39,False,18,6.830675
213,q_213,UMDvsUNC,27,27,True,18,7.434735
214,q_214,UMDvsUNC,34,28,False,18,7.093319
215,q_215,UMDvsUNC,indeterminate,21,False,18,8.416945
216,q_216,UMDvsUNC,16,29,False,18,10.808093
217,q_217,UMDvsUNC,1,1,True,18,8.272003
218,q_218,UMDvsUNC,25,25,True,18,11.636209
219,q_219,UMDvsUNC,43,43,True,18,6.115639
220,q_220,UMDvsUNC,31,41,False,18,6.334322
221,q_221,UMDvsUNC,39,39,True,18,8.989118
222,q_222,UMDvsUNC,indeterminate,12,False,18,7.824388
223,q_223,UMDvsUNC,22,20,False,18,7.883297
224,q_224,UMDvsUNC,1,1,True,18,8.289486
225,q_225,UMDvsUNC,19,69,False,18,63.686724
226,q_226,UMDvsUNC,34,34,True,18,7.768319
227,q_227,UMDvsUNC,35,37,False,18,6.32803
228,q_228,UMDvsUNC,39,52,False,18,8.954231
229,q_229,UMDvsUNC,indeterminate,7,False,18,17.234299
230,q_230,UMDvsUNC,28,28,True,18,9.52076
231,q_231,UMDvsUNC,1,1,True,18,8.926851
232,q_232,UMDvsUNC,19,19,True,18,12.673077
233,q_233,UMDvsUNC,34,34,True,18,6.943471
234,q_234,UMDvsUNC,30,30,True,18,7.50706
235,q_235,UMDvsUNC,40,57,False,18,7.849938
236,q_236,UMDvsUNC,3,3,True,18,12.931108
237,q_237,UMDvsUNC,22,22,True,18,31.540255
238,q_238,UMDvsUNC,1,0,False,18,9.106341
239,q_239,UMDvsUNC,23,30,False,18,13.359416
240,q_240,UMDvsUNC,40,27,False,18,6.390004
241,q_241,UMDvsUNC,29,29,True,18,6.700428
242,q_242,UMDvsUNC,43,64,False,18,8.011374
243,q_243,UMDvsUNC,indeterminate,16,False,18,18.729148
244,q_244,UMDvsUNC,19,24,False,18,11.875093
