index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds,thinking_tokens,total_tokens,thinking_enabled
0,q_0,Emergency_Department,36,36,True,1275,11.480571,725,3170,True
1,q_1,Emergency_Department,62,62,True,1108,11.350082,687,3092,True
2,q_2,Emergency_Department,38,38,True,724,8.404538,427,2738,True
3,q_3,Emergency_Department,62,62,True,546,8.568701,535,2806,True
4,q_4,Emergency_Department,24,24,True,702,10.196677,699,3018,True
5,q_5,Emergency_Department,24,24,True,701,10.521755,694,3007,True
6,q_6,Emergency_Department,36,36,True,1311,12.978971,739,3750,True
7,q_7,Emergency_Department,62,62,True,1334,11.087214,581,3550,True
8,q_8,Emergency_Department,38,38,True,794,7.602243,454,3287,True
9,q_9,Emergency_Department,62,62,True,742,9.837776,548,3376,True
10,q_10,Emergency_Department,24,24,True,803,6.454761,243,3083,True
11,q_11,Emergency_Department,24,24,True,875,7.808699,386,3253,True
12,q_12,Emergency_Department,36,36,True,1213,13.649837,725,3695,True
13,q_13,Emergency_Department,62,62,True,984,11.131156,630,3523,True
14,q_14,Emergency_Department,38,38,True,454,9.283452,621,3387,True
15,q_15,Emergency_Department,62,62,True,469,8.408145,532,3301,True
16,q_16,Emergency_Department,24,24,True,627,11.854065,709,3528,True
17,q_17,Emergency_Department,24,24,True,696,11.190524,687,3509,True
18,q_18,Emergency_Department,36,36,True,1210,11.807162,782,3229,True
19,q_19,Emergency_Department,62,62,True,1086,11.398633,739,3142,True
20,q_20,Emergency_Department,38,38,True,648,8.599072,538,2839,True
21,q_21,Emergency_Department,62,62,True,633,8.137323,482,2771,True
22,q_22,Emergency_Department,24,24,True,792,9.842416,642,2971,True
23,q_23,Emergency_Department,24,24,True,714,10.262753,642,2947,True
24,q_24,Emergency_Department,36,36,True,904,11.975044,722,3111,True
25,q_25,Emergency_Department,38,38,True,518,9.811767,650,2906,True
26,q_26,Emergency_Department,38,38,True,689,9.737592,606,2903,True
27,q_27,Emergency_Department,62,62,True,562,10.575184,633,2904,True
28,q_28,Emergency_Department,indeterminate,indeterminate,True,649,9.804966,559,2844,True
29,q_29,Emergency_Department,36,36,True,1074,12.332219,651,3065,True
30,q_30,Emergency_Department,38,38,True,584,9.790554,631,2914,True
31,q_31,Emergency_Department,38,38,True,841,10.546097,716,3056,True
32,q_32,Emergency_Department,62,62,True,777,10.837576,571,2892,True
33,q_33,Emergency_Department,indeterminate,0,False,1065,11.575146,688,3099,True
34,q_34,Emergency_Department,indeterminate,indeterminate,True,613,9.856039,686,2973,True
35,q_35,Emergency_Department,36,36,True,1133,14.173519,830,3256,True
36,q_36,Emergency_Department,62,62,True,1797,14.262162,806,3406,True
37,q_37,Emergency_Department,38,38,True,787,9.588284,687,3024,True
38,q_38,Emergency_Department,62,21,False,1116,12.599583,826,3239,True
39,q_39,Emergency_Department,24,24,True,692,8.662759,471,2773,True
40,q_40,Emergency_Department,24,24,True,2301,16.452477,886,3626,True
41,q_41,Emergency_Department,36,36,True,1849,14.844088,767,3401,True
42,q_42,Emergency_Department,62,62,True,999,9.278381,552,2934,True
43,q_43,Emergency_Department,38,38,True,885,10.812295,712,3069,True
44,q_44,Emergency_Department,62,62,True,1293,11.217821,585,3054,True
45,q_45,Emergency_Department,24,24,True,655,8.616711,523,2824,True
46,q_46,Emergency_Department,24,24,True,1753,10.628087,590,3175,True
47,q_47,Emergency_Department,36,36,True,1567,12.468667,664,3213,True
48,q_48,Emergency_Department,62,62,True,1040,11.336208,693,3099,True
49,q_49,Emergency_Department,38,38,True,603,8.645345,570,2853,True
50,q_50,Emergency_Department,62,41,False,555,8.046385,475,2752,True
51,q_51,Emergency_Department,24,24,True,599,8.680814,640,2933,True
52,q_52,Emergency_Department,24,24,True,2545,16.551024,838,3640,True
53,q_53,Emergency_Department,36,36,True,1575,13.30922,735,3268,True
54,q_54,Emergency_Department,62,62,True,1402,11.481257,561,3060,True
55,q_55,Emergency_Department,38,38,True,749,7.221342,315,2639,True
56,q_56,Emergency_Department,62,62,True,1523,13.949036,783,3310,True
57,q_57,Emergency_Department,24,24,True,658,9.678036,570,2869,True
58,q_58,Emergency_Department,24,24,True,2578,14.200416,728,3525,True
59,q_59,Emergency_Department,36,36,True,968,10.815197,568,2949,True
60,q_60,Emergency_Department,38,38,True,832,10.510012,690,3024,True
61,q_61,Emergency_Department,38,38,True,508,6.270434,365,2627,True
62,q_62,Emergency_Department,62,62,True,592,10.556725,751,3037,True
63,q_63,Emergency_Department,indeterminate,indeterminate,True,765,10.119083,623,2949,True
64,q_64,Emergency_Department,indeterminate,indeterminate,True,704,9.139741,615,2913,True
65,q_65,Emergency_Department,36,36,True,1149,11.394936,637,3061,True
66,q_66,Emergency_Department,38,38,True,830,9.558532,568,2904,True
67,q_67,Emergency_Department,38,38,True,790,9.597799,623,2945,True
68,q_68,Emergency_Department,62,62,True,623,10.091146,706,2997,True
69,q_69,Emergency_Department,indeterminate,0,False,591,11.095326,714,3006,True
70,q_70,Emergency_Department,indeterminate,indeterminate,True,737,8.833127,559,2866,True
71,q_71,Emergency_Department,30,30,True,2043,12.870892,584,4037,True
72,q_72,Emergency_Department,57,57,True,1474,15.074802,945,4246,True
73,q_73,Emergency_Department,37,37,True,1370,11.876521,711,3944,True
74,q_74,Emergency_Department,35,35,True,2163,15.949091,821,4366,True
75,q_75,Emergency_Department,23,23,True,1576,12.552985,714,4014,True
76,q_76,Emergency_Department,20,20,True,1865,13.851143,729,4147,True
77,q_77,Emergency_Department,24,24,True,1892,15.649062,883,4284,True
78,q_78,Emergency_Department,30,30,True,2320,17.054223,800,4370,True
79,q_79,Emergency_Department,57,57,True,984,11.669431,788,3935,True
80,q_80,Emergency_Department,37,37,True,1568,11.261554,543,3838,True
81,q_81,Emergency_Department,35,59,False,1785,14.005252,689,4149,True
82,q_82,Emergency_Department,23,23,True,1421,13.68479,791,4073,True
83,q_83,Emergency_Department,20,20,True,1751,14.401393,836,4236,True
84,q_84,Emergency_Department,24,24,True,1663,14.25787,720,4077,True
85,q_85,Emergency_Department,30,30,True,1533,14.123792,741,4116,True
86,q_86,Emergency_Department,57,57,True,1625,14.175274,855,4203,True
87,q_87,Emergency_Department,37,37,True,1252,12.46636,750,3987,True
88,q_88,Emergency_Department,35,35,True,2066,13.790767,686,4182,True
89,q_89,Emergency_Department,23,23,True,1136,11.29656,660,3877,True
90,q_90,Emergency_Department,20,20,True,1715,15.011922,857,4215,True
91,q_91,Emergency_Department,24,24,True,1748,14.723628,758,4120,True
