dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,SentenTree,15.0,restaurant->exit,137,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->entrance,21,1.0,2.0,1.0
VAST,SentenTree,15.0,general gate->general gate,2,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->general gate,37,0.0,1.0,1.0
VAST,SentenTree,20.0,general gate->general gate,21,1.0,2.0,1.0
VAST,SentenTree,20.0,general gate->general gate,60,0.0,1.0,1.0
career,CoreFlow,20.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,20.0,professor->conference,9,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,chicago offense,168,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,foul,133,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,opponent offense,74,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,chicago offense,123,0.0,1.0,1.0
pediatric_trauma,SentenTree,20.0,secondarysurvey->blanket,67,0.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,ask a question,1,2.0,3.0,1.0
process_mining,Sequence Synopsis,5.0,build system update,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,close pull request,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,commit changes,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,commit changes,3,2.0,4.0,2.0
process_mining,Sequence Synopsis,5.0,commit changes,8,2.0,4.0,2.0
process_mining,Sequence Synopsis,5.0,distribute situational awareness,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,exit,8,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,issue comment,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,provide support,1,2.0,4.0,2.0
process_mining,Sequence Synopsis,5.0,resolve issue,3,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,update question,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,10.0,ask a question,1,2.0,3.0,1.0
process_mining,Sequence Synopsis,10.0,build system update,1,1.0,3.0,2.0
process_mining,Sequence Synopsis,10.0,close pull request,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,10.0,commit changes,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,10.0,commit changes,3,2.0,4.0,2.0
process_mining,Sequence Synopsis,10.0,commit changes,8,2.0,4.0,2.0
process_mining,Sequence Synopsis,10.0,create issue,6,1.0,2.0,1.0
process_mining,Sequence Synopsis,10.0,create issue,7,1.0,3.0,2.0
process_mining,Sequence Synopsis,10.0,distribute situational awareness,1,1.0,3.0,2.0
process_mining,Sequence Synopsis,10.0,exit,1,2.0,3.0,1.0
process_mining,Sequence Synopsis,10.0,issue comment,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,10.0,resolve issue,3,1.0,3.0,2.0
process_mining,Sequence Synopsis,15.0,ask a question,1,2.0,4.0,2.0
process_mining,Sequence Synopsis,15.0,build system update,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,build system update,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,close pull request,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,commit changes,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,commit changes,3,2.0,4.0,2.0
process_mining,Sequence Synopsis,15.0,commit changes,8,2.0,3.0,1.0
process_mining,Sequence Synopsis,15.0,commit changes,16,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,create issue,6,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,create issue,7,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,distribute situational awareness,1,1.0,3.0,2.0
process_mining,Sequence Synopsis,15.0,exit,11,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,provide support,1,2.0,4.0,2.0
process_mining,Sequence Synopsis,15.0,resolve issue,3,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,start,8,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,update question,1,1.0,2.0,1.0
